geo;indicator;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
afg;suicide_men_per_100000_people;14.92;15.1;15.26;15.4;15.68;15.84;15.98;16.11;16.26;16.32;16.46;16.35;16.4;16.55;16.61;16.74;16.75;16.69;16.67;16.63;16.44;16.34;16.28;16.43;16.43;16.42;16.38
ago;suicide_men_per_100000_people;17.89;17.63;17.45;17.52;17.63;17.59;16.91;16.56;17.27;16.74;16.45;16.38;16.26;16.63;16.71;16.56;16.54;16.6;16.53;16.34;16.25;16.15;15.94;15.85;15.79;15.56;15.3
alb;suicide_men_per_100000_people;5.93;6.09;6.21;6.48;6.69;7.01;7.3;7.78;8.04;8.16;8.09;8.42;8.6;8.68;8.84;8.92;8.94;8.93;8.99;8.9;8.67;8.49;8.33;8.23;8.11;8.04;7.94
and;suicide_men_per_100000_people;15.78;15.74;15.83;15.33;14.96;14.71;14.41;14.82;14.61;14.45;14.45;14.3;14.07;14.12;14.29;14.19;14.1;14.05;13.96;13.95;13.99;14.12;14.2;14.25;13.82;13.9;13.97
are;suicide_men_per_100000_people;4.39;4.54;4.64;4.74;4.82;5.1;5.12;5.23;5.11;5.11;5.07;5.06;5.04;5.54;5.84;5.71;5.63;5.63;4.3;4.37;4.45;4.52;4.57;4.63;4.66;4.66;4.63
arg;suicide_men_per_100000_people;17.7;18.17;18.82;19.3;19.88;20.25;20.64;20.94;21.04;21.17;21.22;21.32;21.05;20.35;19.66;19.44;19.33;19.35;19.27;19.05;18.82;18.77;18.97;19.29;19.44;19.28;19.06
arm;suicide_men_per_100000_people;6.56;6.79;7.49;8.1;8.61;8.87;8.82;8.57;8.17;8.14;7.86;8.02;8.29;8.39;9.1;9.99;10.99;11.03;11.53;11.78;12.04;12.42;13.2;13.13;13.16;13.27;13.13
asm;suicide_men_per_100000_people;12.22;12.3;12.11;11.87;11.75;11.56;11.5;11.47;11.25;10.92;10.8;10.65;10.48;10.69;10.72;10.67;10.48;10.48;10.51;10.63;10.73;10.67;10.54;10.58;10.58;10.53;10.38
atg;suicide_men_per_100000_people;3.66;3.72;3.72;3.66;3.6;3.63;3.61;3.64;3.88;3.92;3.82;3.92;3.9;3.99;4.03;4.13;4.1;4.12;4.17;4.22;4.26;4.3;4.05;3.97;4.01;3.96;3.93
aus;suicide_men_per_100000_people;20.89;20.72;20.58;20.35;20.7;20.88;21.1;21.43;21.42;20.86;20.08;19.41;18.76;18.16;17.7;17.28;17.03;16.97;16.97;16.74;16.58;16.34;16.25;16.0;16.18;16.14;16.2
aut;suicide_men_per_100000_people;34.83;34.27;33.58;33.09;32.65;32.18;31.42;30.3;29.5;28.76;28.12;27.23;26.78;25.94;25.32;24.61;23.92;23.41;22.89;22.75;22.58;22.11;21.7;21.05;20.65;20.53;20.49
aze;suicide_men_per_100000_people;5.31;5.32;5.68;5.43;5.39;4.82;4.63;4.53;4.46;4.63;4.93;5.4;5.59;6.09;6.68;7.16;7.49;7.9;7.75;7.41;7.35;7.14;7.14;7.1;7.05;7.06;7.02
bdi;suicide_men_per_100000_people;27.63;27.83;28.03;28.42;29.03;29.61;29.36;28.67;27.92;26.56;25.99;25.23;24.84;24.5;24.47;24.65;23.81;23.85;23.36;22.42;22.29;22.3;22.17;21.98;21.55;21.48;21.53
bel;suicide_men_per_100000_people;29.08;29.25;29.75;30.59;30.75;30.81;30.67;30.71;30.3;30.08;30.37;29.99;29.26;28.7;27.8;27.18;26.69;26.5;26.59;26.36;26.09;25.78;25.37;24.55;23.99;23.85;23.94
ben;suicide_men_per_100000_people;15.76;16.45;16.67;16.92;17.54;18.07;18.91;19.11;19.21;19.71;20.22;20.49;20.68;20.47;20.38;20.33;20.37;20.33;20.37;20.22;20.21;20.15;20.28;20.31;20.36;20.42;20.4
bfa;suicide_men_per_100000_people;19.0;18.74;18.78;19.04;19.05;19.11;19.06;19.24;19.51;19.3;19.46;19.0;18.77;18.63;18.5;18.41;18.54;18.54;18.49;18.43;18.69;18.56;19.06;19.29;19.41;19.41;19.46
bgd;suicide_men_per_100000_people;13.52;12.95;13.09;13.43;13.23;13.07;12.95;12.21;11.78;10.97;10.38;10.07;9.55;8.93;8.66;8.33;8.35;8.24;8.03;8.02;8.19;8.16;8.52;8.64;8.86;8.98;8.85
bgr;suicide_men_per_100000_people;24.31;24.94;26.11;26.75;27.47;27.47;27.52;27.43;27.18;25.95;25.47;24.53;23.67;22.69;21.9;21.22;20.89;20.28;19.96;19.38;18.85;18.33;18.0;17.67;17.9;18.02;18.15
bhr;suicide_men_per_100000_people;11.65;12.05;12.45;12.63;12.94;13.08;13.18;12.71;12.43;13.01;13.36;13.65;13.6;13.39;13.18;12.66;12.19;11.64;10.85;10.16;9.53;9.22;9.43;9.36;9.45;9.59;9.68
bhs;suicide_men_per_100000_people;4.84;4.86;4.86;4.82;4.86;4.99;4.71;4.88;5.12;4.66;4.67;4.6;4.69;4.88;4.8;4.93;4.79;4.96;5.14;5.23;5.16;5.35;5.3;5.34;5.27;5.25;5.28
bih;suicide_men_per_100000_people;20.06;20.17;20.38;20.68;20.89;20.83;20.28;19.44;18.62;17.73;16.6;15.45;14.32;13.38;12.67;12.15;11.74;11.42;11.12;10.91;10.72;10.38;11.09;11.65;12.27;12.15;12.16
blr;suicide_men_per_100000_people;40.64;43.44;47.36;52.87;56.77;60.57;62.38;65.76;68.28;69.33;68.73;69.04;69.33;67.81;66.12;65.2;62.39;58.75;57.96;56.89;55.55;53.93;48.45;44.98;42.35;42.52;42.67
blz;suicide_men_per_100000_people;8.56;8.99;9.36;9.73;10.16;10.94;11.06;11.73;12.98;13.72;13.72;14.41;13.85;13.68;13.75;13.6;13.36;13.31;13.36;13.17;13.01;13.31;13.06;12.96;12.9;13.05;13.16
bmu;suicide_men_per_100000_people;12.29;12.27;12.05;11.51;10.85;10.43;9.64;9.25;9.33;8.88;8.2;8.38;8.06;7.97;8.0;8.1;8.06;8.16;8.26;8.27;8.3;8.03;7.71;7.45;7.08;6.71;6.86
bol;suicide_men_per_100000_people;10.1;10.06;10.04;10.07;10.02;10.12;10.14;10.32;10.46;10.47;10.38;10.22;10.13;9.97;9.82;9.48;9.42;9.35;9.34;9.33;9.33;9.3;9.29;9.27;9.24;9.27;9.27
bra;suicide_men_per_100000_people;12.1;12.12;12.13;12.07;12.05;11.92;11.71;11.63;11.55;11.36;11.22;11.11;10.99;10.9;10.84;10.85;10.8;10.81;10.8;10.82;10.75;10.74;10.79;10.76;10.79;10.82;10.85
brb;suicide_men_per_100000_people;7.56;7.92;8.14;8.21;8.02;8.24;8.17;8.12;8.06;8.0;7.8;7.95;7.95;8.05;8.15;8.04;8.1;8.04;8.14;8.18;8.19;8.14;8.13;8.04;8.07;8.11;8.14
brn;suicide_men_per_100000_people;6.48;6.54;6.5;6.44;6.42;6.2;6.15;6.14;6.26;6.14;6.17;6.06;5.98;5.91;5.92;6.15;6.4;6.61;6.62;6.43;6.41;6.44;6.54;6.71;6.87;6.92;6.92
btn;suicide_men_per_100000_people;11.38;11.26;11.17;11.47;11.4;11.26;10.75;10.87;10.87;10.53;10.77;10.68;10.61;10.73;10.64;10.68;10.58;10.59;10.5;10.09;10.03;9.98;9.93;9.91;9.86;9.82;9.8
