geo;indicator;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
afg;suicide_per_100000_people;9.21;9.34;9.47;9.58;9.78;9.89;9.98;10.05;10.14;10.17;10.26;10.2;10.23;10.33;10.38;10.45;10.44;10.38;10.34;10.29;10.15;10.09;10.05;10.15;10.15;10.13;10.11
ago;suicide_per_100000_people;11.99;11.87;11.8;11.98;12.18;12.21;11.84;11.63;12.21;11.89;11.71;11.69;11.63;11.9;11.97;11.87;11.83;11.81;11.68;11.51;11.39;11.28;11.12;11.03;10.95;10.78;10.6
alb;suicide_per_100000_people;4.24;4.36;4.43;4.61;4.72;4.96;5.23;5.61;5.85;5.97;5.94;6.19;6.38;6.52;6.64;6.68;6.65;6.67;6.72;6.59;6.38;6.21;6.06;5.96;5.84;5.75;5.67
and;suicide_per_100000_people;9.74;9.69;9.7;9.46;9.28;9.06;8.83;9.03;8.86;8.73;8.69;8.57;8.41;8.4;8.49;8.4;8.33;8.29;8.25;8.27;8.3;8.37;8.42;8.44;8.19;8.24;8.28
are;suicide_per_100000_people;3.75;3.87;3.94;4.01;4.06;4.25;4.28;4.36;4.26;4.25;4.22;4.2;4.19;4.59;4.83;4.75;4.72;4.73;3.65;3.71;3.77;3.82;3.86;3.9;3.91;3.9;3.88
arg;suicide_per_100000_people;10.88;11.1;11.42;11.65;11.94;12.12;12.32;12.48;12.47;12.48;12.49;12.53;12.38;11.98;11.58;11.47;11.38;11.4;11.37;11.3;11.17;11.15;11.26;11.39;11.48;11.34;11.2
arm;suicide_per_100000_people;4.13;4.21;4.59;4.96;5.16;5.28;5.24;4.95;4.74;4.66;4.42;4.49;4.59;4.72;5.2;5.79;6.44;6.56;6.99;7.15;7.36;7.52;7.92;7.73;7.56;7.55;7.38
asm;suicide_per_100000_people;8.15;8.21;8.16;8.06;8.03;7.93;7.92;7.95;7.72;7.43;7.41;7.41;7.29;7.35;7.33;7.22;7.09;7.05;7.09;7.14;7.2;7.22;7.2;7.22;7.21;7.17;7.07
atg;suicide_per_100000_people;2.17;2.2;2.2;2.17;2.14;2.16;2.15;2.16;2.27;2.28;2.2;2.25;2.24;2.29;2.32;2.38;2.36;2.36;2.39;2.4;2.42;2.44;2.31;2.27;2.3;2.27;2.25
aus;suicide_per_100000_people;13.08;12.99;12.87;12.66;12.85;12.99;13.11;13.35;13.33;12.98;12.55;12.16;11.81;11.49;11.23;11.01;10.94;10.96;10.96;10.87;10.8;10.69;10.65;10.49;10.59;10.48;10.47
aut;suicide_per_100000_people;21.96;21.49;21.02;20.66;20.35;19.9;19.31;18.62;18.07;17.72;17.33;16.77;16.4;15.9;15.45;15.01;14.56;14.23;13.92;13.85;13.75;13.52;13.24;12.92;12.75;12.65;12.6
aze;suicide_per_100000_people;3.37;3.32;3.47;3.3;3.23;2.89;2.77;2.71;2.67;2.77;2.96;3.26;3.37;3.69;4.02;4.31;4.51;4.77;4.64;4.44;4.38;4.25;4.25;4.18;4.15;4.15;4.13
bdi;suicide_per_100000_people;22.08;22.28;22.49;22.77;23.23;23.59;23.44;22.78;22.08;21.05;20.39;19.62;18.99;18.48;18.15;17.97;17.14;16.9;16.39;15.64;15.42;15.36;15.22;15.05;14.71;14.62;14.63
bel;suicide_per_100000_people;19.53;19.49;19.74;20.13;20.18;20.2;20.1;20.11;19.83;19.64;19.86;19.57;19.11;18.71;18.12;17.79;17.58;17.56;17.64;17.58;17.46;17.31;16.98;16.5;16.1;15.98;16.02
ben;suicide_per_100000_people;11.2;11.59;11.8;11.95;12.35;12.76;13.28;13.39;13.39;13.62;13.87;13.97;14.03;13.84;13.8;13.76;13.79;13.77;13.81;13.82;13.86;13.81;13.88;13.89;13.88;13.9;13.88
bfa;suicide_per_100000_people;13.48;13.22;13.21;13.22;13.13;13.07;12.97;13.04;13.15;12.91;12.84;12.5;12.31;12.19;12.12;12.05;12.15;12.11;12.04;12.0;12.16;12.14;12.48;12.66;12.77;12.81;12.88
bgd;suicide_per_100000_people;12.54;12.31;12.51;12.6;12.39;12.45;12.05;11.32;10.93;10.48;10.13;9.78;9.48;8.97;8.86;8.82;8.77;8.62;8.47;8.41;8.45;8.17;8.19;8.04;7.94;7.84;7.64
bgr;suicide_per_100000_people;16.06;16.39;17.07;17.39;17.83;17.83;17.91;18.0;17.58;16.66;16.29;15.54;14.85;14.11;13.55;13.04;12.71;12.32;12.06;11.66;11.32;10.91;10.66;10.41;10.55;10.63;10.7
bhr;suicide_per_100000_people;8.13;8.51;8.84;9.01;9.24;9.35;9.35;9.04;8.86;9.27;9.5;9.69;9.72;9.65;9.52;9.17;8.85;8.43;7.89;7.4;6.97;6.75;6.88;6.79;6.83;6.92;6.97
bhs;suicide_per_100000_people;2.84;2.85;2.85;2.82;2.85;2.91;2.72;2.81;2.94;2.7;2.68;2.66;2.72;2.83;2.77;2.84;2.76;2.87;2.96;2.99;3.0;3.1;3.1;3.1;3.08;3.07;3.09
bih;suicide_per_100000_people;12.28;12.29;12.44;12.62;12.74;12.69;12.3;11.74;11.2;10.65;9.98;9.29;8.62;8.07;7.65;7.34;7.09;6.89;6.69;6.56;6.43;6.22;6.67;7.02;7.42;7.32;7.31
blr;suicide_per_100000_people;22.97;24.48;26.64;29.65;31.57;33.46;34.36;36.1;37.32;37.88;37.42;37.6;37.96;37.12;36.29;35.81;34.24;32.22;31.76;31.28;30.37;29.52;26.36;24.42;22.86;22.92;22.96
blz;suicide_per_100000_people;5.16;5.39;5.57;5.74;5.97;6.41;6.44;6.79;7.5;7.97;7.95;8.4;8.11;8.07;8.09;8.03;7.94;7.95;8.03;7.97;7.91;8.05;7.91;7.86;7.87;7.87;7.86
bmu;suicide_per_100000_people;7.87;7.9;7.77;7.4;7.02;6.71;6.15;5.89;5.93;5.72;5.3;5.39;5.2;5.14;5.1;5.11;5.06;5.07;5.11;5.09;5.08;4.91;4.69;4.53;4.34;4.13;4.19
