geo;indicator;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
afg;suicide_total_deaths;702.97;753.93;819.72;894.01;976.86;1046.41;1095.3;1134.28;1169.68;1203.76;1253.96;1298.0;1362.19;1451.71;1530.31;1604.85;1649.72;1680.14;1712.24;1745.18;1761.27;1806.71;1873.58;1992.07;2081.44;2168.63;2247.85
ago;suicide_total_deaths;644.75;652.87;666.65;699.51;735.3;755.81;737.59;738.11;815.97;808.61;818.65;841.52;862.68;915.66;957.06;980.35;1007.55;1037.84;1059.05;1078.8;1102.6;1122.36;1141.24;1168.26;1198.66;1223.77;1234.49
alb;suicide_total_deaths;126.64;130.16;131.05;134.69;136.36;142.34;150.27;162.02;170.2;174.96;175.04;183.6;190.74;196.19;201.37;203.62;203.67;203.94;205.04;201.04;194.88;190.95;187.79;186.15;184.03;182.82;181.03
and;suicide_total_deaths;5.45;5.82;6.18;6.33;6.36;6.17;6.04;6.28;6.24;6.2;6.19;6.14;6.09;6.34;6.84;7.04;7.19;7.39;7.53;7.67;7.76;7.85;7.92;7.97;7.72;7.78;7.84
are;suicide_total_deaths;70.83;77.6;84.24;91.74;99.21;110.87;116.62;124.62;128.62;135.83;142.66;151.88;162.76;193.51;228.76;255.76;292.82;347.28;311.51;358.37;398.79;422.78;436.16;442.75;445.23;446.45;444.66
arg;suicide_total_deaths;3295.41;3416.65;3578.62;3718.58;3887.26;4022.11;4157.26;4285.9;4357.47;4435.53;4515.34;4603.0;4616.92;4530.03;4443.81;4465.95;4490.81;4557.48;4606.52;4637.85;4646.02;4700.36;4802.95;4917.41;5010.07;5012.75;5007.48
arm;suicide_total_deaths;133.75;135.67;146.12;154.81;158.03;160.01;157.67;149.18;143.4;141.79;135.26;138.21;142.12;146.48;162.01;181.26;202.06;205.79;219.16;224.75;232.46;240.65;256.97;254.87;253.64;256.79;252.23
asm;suicide_total_deaths;3.28;3.36;3.39;3.41;3.45;3.47;3.53;3.6;3.56;3.5;3.54;3.59;3.6;3.7;3.75;3.77;3.77;3.81;3.91;4.01;4.12;4.22;4.28;4.39;4.47;4.54;4.57
atg;suicide_total_deaths;1.27;1.3;1.32;1.34;1.36;1.41;1.44;1.49;1.61;1.64;1.59;1.67;1.7;1.77;1.82;1.89;1.9;1.93;1.98;2.02;2.07;2.12;2.04;2.03;2.1;2.11;2.13
aus;suicide_total_deaths;2358.66;2379.99;2390.24;2380.85;2443.32;2499.98;2554.46;2628.63;2652.42;2612.93;2559.51;2520.72;2484.61;2453.23;2435.72;2426.14;2454.47;2508.5;2564.31;2600.48;2632.62;2648.0;2685.01;2695.99;2768.96;2787.11;2828.05
aut;suicide_total_deaths;1964.68;1943.06;1919.48;1900.82;1881.89;1852.44;1807.99;1749.13;1706.9;1684.99;1658.44;1622.91;1604.36;1571.26;1542.14;1521.52;1497.27;1479.37;1465.65;1472.97;1474.25;1467.42;1460.45;1447.94;1443.32;1452.06;1465.72
aze;suicide_total_deaths;206.15;208.5;223.79;217.72;217.66;198.4;192.55;190.59;190.3;200.16;218.0;245.32;258.89;290.95;327.94;361.69;385.34;411.95;408.54;397.59;400.17;398.72;409.12;411.71;415.97;423.53;423.42
bdi;suicide_total_deaths;597.06;610.64;624.88;641.47;662.98;681.43;686.14;673.65;661.25;641.53;636.25;632.02;635.99;644.81;661.26;684.19;678.75;695.81;701.01;695.1;713.06;733.91;751.13;766.98;774.49;794.77;820.66
bel;suicide_total_deaths;2254.42;2260.51;2304.38;2359.92;2375.06;2387.97;2383.29;2397.68;2376.42;2362.82;2397.26;2380.35;2347.4;2316.46;2262.89;2247.48;2237.99;2255.58;2290.19;2306.15;2313.91;2327.53;2310.66;2265.47;2225.94;2231.45;2254.48
ben;suicide_total_deaths;298.58;318.61;334.56;350.19;375.11;400.51;426.91;440.92;451.96;472.58;497.56;517.35;537.67;548.93;566.8;585.2;605.59;624.5;648.3;671.96;697.61;717.38;744.67;769.19;794.18;821.8;846.83
bfa;suicide_total_deaths;594.01;593.35;604.46;617.32;626.63;638.64;647.42;666.13;688.22;695.6;714.71;714.93;724.33;736.59;752.01;771.89;800.07;820.96;841.36;865.15;905.76;921.35;991.88;1039.04;1082.61;1122.2;1166.08
bgd;suicide_total_deaths;12461.14;12620.16;13210.58;13692.5;13830.99;14304.29;14138.75;13573.41;13372.16;13052.34;12805.47;12595.77;12417.78;11912.51;11952.32;12085.88;12178.8;12092.6;12012.63;12046.4;12184.47;11861.34;11971.33;11785.13;11671.79;11632.56;11570.18
