geo;indicator;1850;1851;1852;1853;1854;1855;1856;1857;1858;1859;1860;1861;1862;1863;1864;1865;1866;1867;1868;1869;1870;1871;1872;1873;1874;1875;1876;1877;1878;1879;1880;1881;1882;1883;1884;1885;1886;1887;1888;1889;1890;1891;1892;1893;1894;1895;1896;1897;1898;1899;1900;1901;1902;1903;1904;1905;1906;1907;1908;1909;1910;1911;1912;1913;1914;1915;1916;1917;1918;1919;1920;1921;1922;1923;1924;1925;1926;1927;1928;1929;1930;1931;1932;1933;1934;1935;1936;1937;1938;1939;1940;1941;1942;1943;1944;1945;1946;1947;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000
abw;sulfur_emissions_per_person_kg;1.237;0.8182;1.526;1.3619999999999999;1.6740000000000002;1.605;2.189;2.4859999999999998;2.595;2.43;3.4389999999999996;3.358;3.722;3.2889999999999997;4.17;4.086;3.403;4.262;4.095;4.936;4.349;3.937;4.76;4.1930000000000005;4.686;4.689;5.008;4.373;4.69;4.534;4.072;4.0889999999999995;4.468999999999999;3.305;4.356;3.998;3.7039999999999997;3.125;3.7880000000000003;3.012;3.272;3.03;3.43;3.79;3.9210000000000003;3.9410000000000003;3.969;3.97;4.765;5.175;5.606;7.29;14.69;22.18;29.59;36.79;42.92;49.35;57.91;65.03;71.96;76.71;142.2;221.8;251.8;273.1;299.7;377.3;400.7;454.5;523.8;547.3;560.4;534.9;532.4;500.1;455.6;385.2;899.5;1088.0;1334.0;1092.0;1046.0;1091.0;1204.0;1357.0;1461.0;1754.0;1767.0;1719.0;1427.0;1821.0;1002.0;1629.0;2139.0;2541.0;2781.0;3142.0;3291.0;3483.0;3724.0;3981.0;3678.0;3280.0;3301.0;3168.0;2925.0;2424.0;2037.0;2038.0;1887.0;1814.0;1716.0;1574.0;1486.0;1356.0;1246.0;1318.0;1231.0;1185.0;1291.0;1037.0;955.6;1082.0;1093.0;656.2;819.6;711.2;685.0;614.7;832.5;668.7;540.8;416.6;362.6;156.5;144.7;174.0;183.6;185.2;198.5;200.7;202.6;204.0;205.5;207.3;208.9;210.6;212.2;213.9;215.6
afg;sulfur_emissions_per_person_kg;0.0;7e-05;0.00013000000000000002;0.0002;0.00026000000000000003;0.00033;0.00039;0.00045;0.0005099999999999999;0.00057;0.00064;0.0006900000000000001;0.00075;0.00081;0.00086;0.00091;0.0009599999999999999;0.0010199999999999999;0.00107;0.00112;0.00116;0.00131;0.00146;0.0016;0.0017399999999999998;0.00209;0.00227;0.0024100000000000002;0.00265;0.0028699999999999997;0.00299;0.0030800000000000003;0.00323;0.00345;0.00381;0.00417;0.00414;0.00449;0.00488;0.0054399999999999995;0.00579;0.00629;0.00663;0.006409999999999999;0.007259999999999999;0.00784;0.00824;0.00845;0.00963;0.010190000000000001;0.011179999999999999;0.01248;0.0135;0.014119999999999999;0.01475;0.015609999999999999;0.021240000000000002;0.02256;0.02399;0.02405;0.02478;0.02635;0.029580000000000002;0.033280000000000004;0.03435;0.0337;0.03818;0.04106;0.04183;0.04618;0.03621;0.03808;0.03893;0.0418;0.04378;0.0439;0.04374;0.04562;0.04629;0.04705;0.046560000000000004;0.04351;0.04175;0.04408;0.04808;0.05065;0.05337000000000001;0.05457000000000001;0.05466;0.058570000000000004;0.0654;0.06883;0.06822;0.06468;0.06277999999999999;0.03868;0.03137;0.035160000000000004;0.036489999999999995;0.04773;0.07578;0.09323;0.11;0.1262;0.1417;0.2001;0.1964;0.2429;0.2792;0.33;0.3784;0.5094;0.8459;0.7313;0.8161;1.016;1.117;1.0170000000000001;0.8214;0.8785;1.026;0.8237;0.4381;0.6786;0.6502;0.8268;0.8598;0.8906;1.1079999999999999;0.662;0.6145;0.7064;0.879;0.8757;0.8639;0.8556;4.385;4.3919999999999995;4.138;4.025;3.944;3.9930000000000003;3.735;3.405;3.227;3.156;3.138;3.1239999999999997;3.11;3.093;3.142
ago;sulfur_emissions_per_person_kg;2.9999999999999997e-05;2.9999999999999997e-05;5e-05;8e-05;0.00011;0.00013000000000000002;0.00016;0.00018;0.00021;0.00022999999999999998;0.00025;0.0005;0.00075;0.00099;0.00122;0.00146;0.0016899999999999999;0.0019100000000000002;0.00214;0.00235;0.00257;0.00278;0.003;0.00322;0.00343;0.00364;0.00385;0.00405;0.00426;0.00446;0.00465;0.005229999999999999;0.00485;0.00484;0.00484;0.0052899999999999996;0.0057399999999999994;0.00618;0.00663;0.00732;0.007690000000000001;0.00644;0.00826;0.00717;0.00886;0.00777;0.00868;0.009729999999999999;0.01;0.010020000000000001;0.0119;0.01289;0.02562;0.0382;0.05064;0.06293;0.07508;0.08709;0.09896;0.1107;0.1223;0.1338;0.1451;0.1563;0.1674;0.1784;0.1892;0.2;0.2106;0.2211;0.2315;0.2418;0.2519;0.262;0.272;0.2818;0.2916;0.3012;0.3108;0.3202;0.3296;0.3388;2.523;1.791;1.075;1.0759999999999998;1.077;1.079;1.08;1.081;1.082;1.074;1.704;1.683;1.05;1.041;1.026;1.015;3.822;5.96;9.547;10.54;11.01;9.219;8.732000000000001;8.56;7.135;7.707999999999999;7.699;7.297999999999999;8.964;7.952999999999999;15.07;17.39;18.35;17.47;19.36;16.31;17.95;18.22;23.99;23.21;21.79;23.42;22.53;13.16;10.81;11.19;10.9;10.98;11.45;9.855;8.906;8.649;8.883;9.201;8.713;8.408;7.928;7.6739999999999995;7.723;7.611000000000001;7.621;6.983;7.584;6.886;6.452000000000001;6.218;6.017;5.752999999999999;4.746
alb;sulfur_emissions_per_person_kg;0.00016999999999999999;0.00018999999999999998;0.00023999999999999998;0.00026000000000000003;0.0003;0.00033999999999999997;0.00039;0.00042;0.00047999999999999996;0.00047000000000000004;0.0005;0.0005200000000000001;0.00058;0.00064;0.0007;0.00075;0.0007700000000000001;0.00084;0.0008900000000000001;0.00095;0.0010199999999999999;0.00118;0.00125;0.00131;0.0013599999999999999;0.0013800000000000002;0.00144;0.00141;0.0015199999999999999;0.0016;0.00179;0.00186;0.0019399999999999999;0.00212;0.00216;0.0022199999999999998;0.00225;0.0022600000000000003;0.00246;0.00266;0.00274;0.00286;0.00282;0.003;0.0031100000000000004;0.00328;0.00343;0.0036299999999999995;0.00395;0.00418;0.004529999999999999;0.00455;0.00441;0.00457;0.00473;0.00476;0.00509;0.00556;0.00571;0.00583;0.00573;0.00607;0.00657;0.0070799999999999995;0.00602;0.01196;0.01784;0.02364;0.02938;0.03506;0.04067;0.04597;0.051160000000000004;0.056220000000000006;0.06117;0.06608;0.07073;0.07534;0.07985;0.08424;0.08853;0.09262000000000001;0.0967;0.1007;0.1045;0.1082;0.1119;0.1143;0.1171;0.1177;0.1194;0.1213;0.1224;0.1251;0.1275;0.1284;0.1292;0.1293;0.1298;0.1301;0.4074;0.5754;0.6304;0.8192;1.0859999999999999;1.4369999999999998;1.9409999999999998;2.806;3.125;3.455;3.697;4.638;5.093;4.453;4.984;6.105;6.791;8.245;8.896;10.46;11.36;11.07;11.73;11.07;11.59;12.7;11.18;12.05;12.11;15.44;17.41;17.92;17.99;17.55;15.4;15.92;15.45;15.95;16.03;15.62;15.0;10.39;3.766;2.958;2.464;2.2030000000000003;2.186;1.5630000000000002;1.5830000000000002;1.19;1.1540000000000001
ant;sulfur_emissions_per_person_kg;1.237;0.8182;1.526;1.3619999999999999;1.6740000000000002;1.605;2.189;2.4859999999999998;2.595;2.43;3.4389999999999996;3.358;3.722;3.2889999999999997;4.17;4.086;3.403;4.262;4.095;4.936;4.349;3.937;4.76;4.1930000000000005;4.686;4.689;5.008;4.373;4.69;4.534;4.072;4.0889999999999995;4.468999999999999;3.305;4.356;3.998;3.7039999999999997;3.125;3.7880000000000003;3.012;3.272;3.03;3.43;3.79;3.9210000000000003;3.9410000000000003;3.969;3.97;4.765;5.175;5.606;7.29;14.69;22.18;29.59;36.79;42.92;49.35;57.91;65.03;71.96;76.71;142.2;221.8;251.8;273.1;299.7;377.3;400.7;454.5;523.8;547.3;560.4;534.9;532.4;500.1;455.6;385.2;899.5;1088.0;1334.0;1092.0;1046.0;1091.0;1204.0;1357.0;1461.0;1754.0;1767.0;1719.0;1427.0;1821.0;1002.0;1629.0;2139.0;2541.0;2781.0;3142.0;3291.0;3483.0;3724.0;3981.0;3678.0;3280.0;3301.0;3168.0;2925.0;2424.0;2037.0;2038.0;1887.0;1814.0;1716.0;1574.0;1486.0;1356.0;1246.0;1318.0;1231.0;1185.0;1291.0;1037.0;955.6;1082.0;1093.0;656.2;819.6;711.2;685.0;614.7;832.5;668.7;540.8;416.6;362.6;156.5;144.7;174.0;183.6;185.2;198.5;200.7;202.6;204.0;205.5;207.3;208.9;210.6;212.2;213.9;215.6
are;sulfur_emissions_per_person_kg;0.0;0.00053;0.00106;0.00159;0.00213;0.00266;0.0031899999999999997;0.00372;0.00426;0.00479;0.00533;0.00586;0.0064;0.0069299999999999995;0.00747;0.008;0.00854;0.00908;0.00962;0.01015;0.01069;0.01116;0.01162;0.01208;0.01253;0.012980000000000002;0.01342;0.013859999999999999;0.01429;0.014719999999999999;0.01514;0.023209999999999998;0.031180000000000003;0.03907;0.04687;0.05458;0.062229999999999994;0.06978999999999999;0.07728;0.08469;0.09202;0.09575;0.0984;0.09984;0.0999;0.09844;0.1397;0.1802;0.22;0.2628;0.3038;0.3625;0.5621;0.7881;1.34;1.214;1.4;1.6580000000000001;1.84;1.9480000000000002;2.004;2.133;2.6689999999999996;3.0239999999999996;2.347;1.734;2.864;2.6519999999999997;2.37;1.785;2.121;2.066;2.45;2.765;2.889;2.8480000000000003;3.623;3.498;3.46;3.342;3.0989999999999998;3.065;4.87;6.56;4.938;5.954;8.096;9.168;11.44;11.24;8.718;8.58;7.14;5.587999999999999;7.307;7.735;8.821;10.34;11.06;12.15;19.34;18.28;8.684;8.469;8.624;9.77;10.22;10.55;10.05;9.338;10.16;8.915;8.677;2.456;16.86;8.806000000000001;10.84;12.38;8.531;4.061;0.5635;11.72;1.585;5.274;19.61;6.206;6.027;12.26;5.367000000000001;35.66;8.842;33.42;34.89;25.56;45.8;42.67;39.78;42.93;41.43;39.04;39.56;38.31;35.62;32.98;32.89;31.3;30.48;28.51;27.59;22.8;22.58
arg;sulfur_emissions_per_person_kg;0.00466;0.00301;0.00549;0.0048;0.00579;0.00545;0.0072900000000000005;0.00813;0.00835;0.007690000000000001;0.0107;0.01029;0.01123;0.00978;0.01223;0.01182;0.00971;0.012;0.01139;0.01356;0.0118;0.01031;0.01205;0.01028;0.01114;0.01083;0.01124;0.00955;0.00998;0.00941;0.00826;0.0081;0.00866;0.00627;0.00809;0.00728;0.0066099999999999996;0.00548;0.006520000000000001;0.00509;0.0054399999999999995;0.00488;0.00536;0.00575;0.00579;0.00566;0.00556;0.00542;0.00635;0.00674;0.0071400000000000005;0.009000000000000001;0.01733;0.02502;0.03211;0.03864;0.04463;0.05012;0.055139999999999995;0.05947;0.06434;0.06696;0.07622999999999999;0.08638;0.1078;0.1382;0.1826;0.2225;0.2379;0.2185;0.2698;0.3232;0.3968;0.4248;0.5281;0.7745;1.5819999999999999;1.499;1.331;1.395;1.315;1.5190000000000001;1.528;1.626;1.525;1.496;1.9240000000000002;2.543;3.292;3.832;4.626;4.288;4.132;3.412;3.134;2.8110000000000004;2.844;2.863;2.675;2.376;22.44;25.93;23.75;23.13;23.25;21.94;24.47;27.48;25.4;23.85;17.55;12.84;8.934;8.658;9.335;12.7;12.42;10.85;8.943;10.11;9.445;10.28;8.074;9.604;11.3;10.02;10.24;11.06;8.743;9.212;9.541;7.943;6.831;4.997;5.052;5.157;5.7;5.746;6.194;5.91;5.245;5.044;5.166;4.9030000000000005;4.982;4.685;4.87;5.311;5.364;5.546;5.34
arm;sulfur_emissions_per_person_kg;0.00763;0.008459999999999999;0.01672;0.02469;0.03241;0.0401;0.04822;0.05609;0.06289;0.07017000000000001;0.07708;0.08999;0.09005;0.09429;0.1017;0.1023;0.1131;0.1273;0.1043;0.1423;0.1553;0.2078;0.2138;0.1995;0.2331;0.2749;0.3326;0.32899999999999996;0.4332;0.4415;0.5107;0.5315;0.56;0.6288;0.6108;0.6491;0.6707;0.6559;0.7468;0.8701;0.8388;0.8841;0.941;1.0590000000000002;1.1540000000000001;1.255;1.287;1.4709999999999999;1.639;1.9140000000000001;2.156;2.165;2.102;2.191;2.38;2.16;2.443;2.7910000000000004;2.819;2.905;2.806;3.042;3.292;3.787;3.138;2.7889999999999997;3.045;2.727;1.102;0.8376;0.7591;0.8265;1.018;1.127;1.403;1.426;2.138;2.6889999999999996;2.975;3.384;4.102;4.848;5.303999999999999;6.087000000000001;7.404;8.53;9.874;10.09;10.66;11.6;12.98;12.72;12.47;12.23;11.97;11.73;12.8;14.13;15.83;17.51;19.16;20.27;21.02;21.58;22.66;24.41;25.72;26.48;26.6;26.13;25.46;24.28;24.1;23.82;23.85;24.15;23.9;23.82;23.31;23.22;23.39;23.34;23.36;23.41;23.7;23.91;23.53;23.6;23.36;22.83;22.63;17.48;15.74;16.86;14.58;14.85;16.25;15.94;14.81;9.426;10.66;8.655;6.527;0.851;0.6718;0.4073;0.2448;0.06538;0.5428;0.1378;1.381
atg;sulfur_emissions_per_person_kg;0.0024;0.0016;0.00301;0.00271;0.00336;0.00325;0.00447;0.00512;0.00539;0.00509;0.00727;0.00715;0.00804;0.0072;0.00925;0.00919;0.00775;0.00984;0.00958;0.0117;0.01045;0.00958;0.01167;0.01036;0.01166;0.01176;0.01265;0.01113;0.01202;0.0117;0.010579999999999999;0.0107;0.01171;0.00867;0.01144;0.01051;0.00975;0.00824;0.01;0.00796;0.00865;0.008020000000000001;0.00919;0.01028;0.010759999999999999;0.01094;0.01115;0.011290000000000001;0.01371;0.015069999999999998;0.01652;0.02174;0.02257;0.02595;0.0275;0.030969999999999998;0.031089999999999996;0.03403;0.03781;0.041510000000000005;0.04282;0.05124;0.05131;0.04641;0.04626;0.05749;0.07003;0.085;0.09523;0.08048;0.08724;0.07277;0.08484;0.1071;0.105;0.1122;0.12;0.1299;0.1533;0.1621;0.1393;0.1233;0.08355;0.09937;0.1267;0.1309;0.1319;0.1769;0.1717;0.1673;0.1724;0.1941;0.1784;0.1946;0.2011;0.2091;0.2339;0.2136;0.217;0.2196;0.2744;1.8090000000000002;0.2882;0.5303;0.27;0.573;1.102;1.615;2.121;2.6289999999999996;3.1310000000000002;3.574;3.998;4.4030000000000005;4.838;5.2620000000000005;5.62;16.55;34.26;31.66;51.1;57.14;59.48;49.24;31.3;13.62;6.771;13.66;13.36;14.87;16.54;16.83;16.1;15.69;17.25;18.1;22.16;23.04;22.8;24.04;24.05;23.5;23.17;23.41;24.08;22.88;24.05;24.44;24.08;24.53;24.2
aus;sulfur_emissions_per_person_kg;9.437999999999999;7.199;8.073;2.9139999999999997;1.3359999999999999;1.217;4.35;4.0169999999999995;3.7689999999999997;3.648;4.388;4.331;5.051;5.68;6.975;5.966;8.625;11.21;11.54;11.22;5.919;7.647;8.112;7.9079999999999995;7.061;6.875;6.678;7.029;5.138999999999999;4.981;4.822;9.257;10.08;11.53;13.33;11.43;9.76;8.995;10.13;11.52;11.19;13.21;11.72;12.47;13.18;13.94;15.05;17.34;19.11;21.87;22.53;23.61;21.77;22.69;23.95;26.56;27.42;32.28;31.96;29.17;33.19;34.3;35.31;34.8;30.14;26.29;24.42;24.52;24.95;15.79;19.38;17.66;18.92;20.99;20.3;19.9;18.87;19.99;18.61;17.89;16.96;14.52;16.48;16.68;16.78;17.77;19.38;21.37;22.05;23.08;22.48;23.97;23.67;22.19;21.99;20.1;20.45;20.63;21.02;20.8;22.03;21.77;22.83;24.24;26.84;30.75;33.9;34.52;36.22;37.07;39.2;37.4;38.68;40.39;38.56;37.84;39.25;39.42;40.26;40.18;39.7;35.4;36.91;36.61;38.66;39.01;41.5;43.31;41.52;42.24;39.33;41.69;45.49;43.55;40.25;39.19;40.35;43.85;38.21;45.65;48.06;48.62;50.85;51.7;53.09;49.57;50.5;49.58;48.7;50.74;63.27
