geo;indicator;1760;1761;1762;1763;1764;1765;1766;1767;1768;1769;1770;1771;1772;1773;1774;1775;1776;1777;1778;1779;1780;1781;1782;1783;1784;1785;1786;1787;1788;1789;1790;1791;1792;1793;1794;1795;1796;1797;1798;1799;1800;1801;1802;1803;1804;1805;1806;1807;1808;1809;1810;1811;1812;1813;1814;1815;1816;1817;1818;1819;1820;1821;1822;1823;1824;1825;1826;1827;1828;1829;1830;1831;1832;1833;1834;1835;1836;1837;1838;1839;1840;1841;1842;1843;1844;1845;1846;1847;1848;1849;1850;1851;1852;1853;1854;1855;1856;1857;1858;1859;1860;1861;1862;1863;1864;1865;1866;1867;1868;1869;1870;1871;1872;1873;1874;1875;1876;1877;1878;1879;1880;1881;1882;1883;1884;1885;1886;1887;1888;1889;1890;1891;1892;1893;1894;1895;1896;1897;1898;1899;1900;1901;1902;1903;1904;1905;1906;1907;1908;1909;1910;1911;1912;1913;1914;1915;1916;1917;1918;1919;1920;1921;1922;1923;1924;1925;1926;1927;1928;1929;1930;1931;1932;1933;1934;1935;1936;1937;1938;1939;1940;1941;1942;1943;1944;1945;1946;1947;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2020;2030;2050;2099
abw;surviving_kids_per_woman;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.651;4.691;4.696000000000001;4.69;4.673;4.652;4.558;4.515;4.46;4.346;4.2589999999999995;4.118;3.95;3.8110000000000004;3.6239999999999997;3.427;3.2710000000000004;3.082;2.911;2.773;2.6460000000000004;2.537;2.467;2.394;2.358;2.3209999999999997;2.2840000000000003;2.265;2.263;2.245;2.226;2.2319999999999998;2.213;2.204;2.195;2.185;2.176;2.166;2.148;2.129;2.11;2.094;2.066;2.028;1.9909999999999999;1.943;1.906;1.868;1.83;1.8019999999999998;1.764;1.745;1.726;1.7080000000000002;1.689;1.67;1.67;1.651;1.641;1.6219999999999999;1.6130000000000002;1.554;1.615;1.7619999999999998;1.9809999999999999
afg;surviving_kids_per_woman;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.8930000000000002;2.8930000000000002;3.0189999999999997;3.0189999999999997;3.0189999999999997;3.1439999999999997;3.1439999999999997;3.1439999999999997;3.1439999999999997;3.2680000000000002;3.2680000000000002;3.2680000000000002;3.392;3.392;3.514;3.514;3.514;3.636;3.636;3.7560000000000002;3.7560000000000002;3.7560000000000002;3.8760000000000003;3.8760000000000003;3.989;3.989;4.112;4.112;4.2330000000000005;4.244;4.25;4.377;4.393;4.405;4.416;4.543;4.555;4.566;4.7;4.711;4.723;4.851;4.869;4.881;5.008;5.013999999999999;5.002;4.977;5.052;4.994;4.918;4.941;4.843999999999999;4.74;4.6419999999999995;4.641;4.541;4.448;4.444;4.35;4.261;3.685;3.1310000000000002;2.396;1.784
ago;surviving_kids_per_woman;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.49;2.49;2.491;2.491;2.491;2.491;2.492;2.492;2.492;2.492;2.4930000000000003;2.4930000000000003;2.4930000000000003;2.494;2.494;2.494;2.494;2.495;2.495;2.495;2.495;2.496;2.496;2.496;2.496;2.497;2.497;2.497;2.497;2.498;2.498;2.498;2.498;2.499;2.499;2.499;2.499;2.5;2.5;2.5;2.5;2.501;2.501;2.501;2.502;2.502;2.502;2.502;2.503;2.503;2.503;2.503;2.504;2.504;2.504;2.504;2.505;2.505;2.505;2.505;2.506;2.506;2.506;2.506;2.5069999999999997;2.5069999999999997;2.5069999999999997;2.5069999999999997;2.508;2.508;2.508;2.509;2.509;2.509;2.509;2.51;2.51;2.51;2.51;2.511;2.511;2.511;2.511;2.512;2.512;2.512;2.512;2.513;2.513;2.513;2.513;2.5140000000000002;2.5140000000000002;2.5140000000000002;2.5140000000000002;2.515;2.515;2.515;2.515;2.516;2.516;2.516;2.517;2.517;2.517;2.517;2.5180000000000002;2.5180000000000002;2.5180000000000002;2.5180000000000002;2.519;2.519;2.519;2.519;2.52;2.52;2.52;2.52;2.521;2.521;2.521;2.521;2.522;2.522;2.522;2.522;2.521;2.52;2.519;2.517;2.516;2.515;2.513;2.512;2.511;2.51;2.508;2.5069999999999997;2.506;2.504;2.503;2.502;2.5;2.613;2.612;2.611;2.609;2.721;2.72;2.719;2.717;2.721;2.85;2.867;2.997;3.014;3.031;3.167;3.185;3.323;3.341;3.355;3.489;3.4989999999999997;3.625;3.625;3.62;3.725;3.715;3.807;3.787;3.766;3.861;3.85;3.948;3.948;3.948;4.055;4.055;4.061;4.061;4.061;4.061;4.173;4.173;4.173;4.173;4.167;4.1610000000000005;4.156000000000001;4.15;4.132;4.121;4.103;4.189;4.172;4.255;4.231;4.311;4.28;4.346;4.388999999999999;4.415;4.335;4.329;4.303999999999999;4.194;4.0760000000000005;4.041;3.929;3.9010000000000002;3.267;2.678;2.072;1.754
alb;surviving_kids_per_woman;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.244;2.244;2.244;2.244;2.244;2.244;2.244;2.244;2.244;2.244;2.244;2.244;2.244;2.244;2.244;2.244;2.244;2.244;2.244;2.244;2.244;2.244;2.244;2.244;2.244;2.244;2.244;2.244;2.244;2.244;2.244;2.244;2.244;2.244;2.244;2.244;2.244;2.244;2.244;2.244;2.244;2.244;2.244;2.244;2.244;2.244;2.244;2.244;2.244;2.244;2.244;2.244;2.244;2.244;2.244;2.244;2.244;2.244;2.244;2.244;2.244;2.244;2.244;2.244;2.244;2.244;2.244;2.244;2.244;2.244;2.244;2.244;2.244;2.244;2.244;2.244;2.244;2.244;2.244;2.244;2.244;2.244;2.244;2.244;2.244;2.244;2.244;2.244;2.244;2.244;2.244;2.244;2.244;2.244;2.244;2.244;2.244;2.244;2.244;2.244;2.244;2.244;2.244;2.244;2.244;2.244;2.244;2.244;2.244;2.244;2.244;2.244;2.244;2.244;2.244;2.244;2.244;2.244;2.244;2.244;2.244;2.244;2.244;2.244;2.244;2.244;2.158;2.072;1.985;1.899;1.871;1.8359999999999999;1.796;1.959;2.129;2.303;2.483;2.6689999999999996;2.7939999999999996;2.326;2.6689999999999996;2.439;2.927;3.062;3.2;3.339;3.4810000000000003;3.5610000000000004;3.705;3.852;4.0;4.0680000000000005;4.256;4.356;4.5089999999999995;4.648;4.763;4.862;4.944;4.999;5.0280000000000005;5.0360000000000005;5.025;4.984;4.888;4.825;4.71;4.595;4.534;4.436;4.3469999999999995;4.266;4.226;4.145;4.064;3.983;3.937;3.865;3.792;3.728;3.7060000000000004;3.66;3.614;3.6060000000000003;3.5780000000000003;3.532;3.4930000000000003;3.4;3.2880000000000003;3.148;2.9989999999999997;2.8289999999999997;2.69;2.57;2.496;2.4219999999999997;2.366;2.326;2.26;2.198;2.113;2.03;1.935;1.84;1.764;1.6780000000000002;1.611;1.5630000000000002;1.516;1.494;1.475;1.3940000000000001;1.423;1.6159999999999999;1.936
ant;surviving_kids_per_woman;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.651;4.691;4.696000000000001;4.69;4.673;4.652;4.558;4.515;4.46;4.346;4.2589999999999995;4.118;3.95;3.8110000000000004;3.6239999999999997;3.427;3.2710000000000004;3.082;2.911;2.773;2.6460000000000004;2.559;2.467;2.394;2.358;2.3209999999999997;2.301;2.282;2.263;2.26;2.241;2.2319999999999998;2.226;2.217;2.208;2.189;2.189;2.1790000000000003;2.1790000000000003;2.182;2.182;2.173;2.1630000000000003;2.144;2.104;2.076;2.0469999999999997;2.028;2.021;2.002;1.992;1.992;1.983;1.964;1.954;1.945;1.926;1.8969999999999998;1.8780000000000001;1.859;1.858;1.75;1.7369999999999999;1.8159999999999998;1.9769999999999999
are;surviving_kids_per_woman;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;2.946;3.167;3.4930000000000003;3.81;4.0169999999999995;4.3180000000000005;4.324;4.435;4.538;4.545;4.641;4.729;4.822;4.9;4.9830000000000005;5.0569999999999995;5.13;5.2;5.276;5.3420000000000005;5.406000000000001;5.468999999999999;5.5120000000000005;5.553;5.575;5.585;5.567;5.535;5.432;5.377999999999999;5.311;5.187;5.122999999999999;5.016;4.974;4.8839999999999995;4.856;4.792;4.738;4.715;4.65;4.595;4.493;4.364;4.257;4.0889999999999995;3.903;3.717;3.545;3.3569999999999998;3.179;3.02;2.887;2.745;2.613;2.5;2.4;2.286;2.182;2.0780000000000003;1.983;1.8969999999999998;1.821;1.754;1.706;1.6680000000000001;1.5;1.4280000000000002;1.5730000000000002;1.926
arg;surviving_kids_per_woman;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.1039999999999996;3.1039999999999996;3.1039999999999996;3.1039999999999996;3.1039999999999996;3.1039999999999996;3.1039999999999996;3.1039999999999996;3.1039999999999996;3.1039999999999996;3.1039999999999996;3.1039999999999996;3.1039999999999996;3.1039999999999996;3.1039999999999996;3.1039999999999996;3.1039999999999996;3.1039999999999996;3.1039999999999996;3.1039999999999996;3.1039999999999996;3.1039999999999996;3.1039999999999996;3.1039999999999996;3.1039999999999996;3.1039999999999996;3.1039999999999996;3.1039999999999996;3.1039999999999996;3.1039999999999996;3.1039999999999996;3.1039999999999996;3.1039999999999996;3.1039999999999996;3.1039999999999996;3.1039999999999996;3.1039999999999996;3.1039999999999996;3.1039999999999996;3.1039999999999996;3.1039999999999996;3.1039999999999996;3.1039999999999996;3.1039999999999996;3.1039999999999996;3.1039999999999996;3.1039999999999996;3.1039999999999996;3.1039999999999996;3.1039999999999996;3.1039999999999996;3.1039999999999996;3.1039999999999996;3.1039999999999996;3.1039999999999996;3.1039999999999996;3.1039999999999996;3.1039999999999996;3.1039999999999996;3.1039999999999996;3.1039999999999996;3.1039999999999996;3.1039999999999996;3.1039999999999996;3.1039999999999996;3.1039999999999996;3.1039999999999996;3.1039999999999996;3.1039999999999996;3.1039999999999996;3.07;3.036;3.003;3.002;3.0;2.9989999999999997;2.998;2.997;2.995;2.9939999999999998;2.9930000000000003;2.992;2.991;2.9530000000000003;2.915;2.877;2.839;2.801;2.779;2.852;2.83;2.807;2.784;2.958;3.0269999999999997;3.195;3.06;2.909;2.906;2.9960000000000004;3.085;3.082;3.17;3.227;3.195;3.248;3.215;3.265;3.301;3.335;3.365;3.3160000000000003;3.342;3.3569999999999998;3.446;3.3989999999999996;3.4219999999999997;3.443;3.4610000000000003;3.41;3.424;3.435;3.383;3.39;3.3369999999999997;3.341;3.287;3.233;3.216;3.145;3.074;3.0039999999999996;2.9330000000000003;2.866;2.799;2.733;2.7089999999999996;2.682;2.718;2.753;2.787;2.82;2.815;2.8160000000000003;2.779;2.7769999999999997;2.741;2.7039999999999997;2.693;2.681;2.637;2.67;2.67;2.693;2.693;2.716;2.716;2.707;2.728;2.728;2.719;2.7110000000000003;2.702;2.693;2.6839999999999997;2.676;2.695;2.695;2.695;2.7039999999999997;2.713;2.767;2.8110000000000004;2.8560000000000003;2.938;2.992;3.037;3.083;3.083;3.0639999999999996;3.028;2.9989999999999997;2.944;2.898;2.862;2.8569999999999998;2.838;2.8289999999999997;2.8110000000000004;2.792;2.785;2.7569999999999997;2.72;2.6830000000000003;2.636;2.5980000000000003;2.551;2.495;2.438;2.396;2.34;2.293;2.245;2.208;2.1919999999999997;2.173;2.154;2.135;2.125;2.126;2.1069999999999998;1.973;1.881;1.796;1.916
arm;surviving_kids_per_woman;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.823;3.813;3.841;3.832;3.832;3.883;3.897;3.9589999999999996;3.977;4.0280000000000005;4.021;3.987;3.958;3.853;3.75;3.5860000000000003;3.445;3.279;3.134;3.04;2.9419999999999997;2.86;2.803;2.72;2.6310000000000002;2.5380000000000003;2.4459999999999997;2.362;2.292;2.238;2.205;2.194;2.201;2.224;2.239;2.276;2.291;2.318;2.312;2.311;2.287;2.237;2.162;2.068;1.845;1.6369999999999998;1.6369999999999998;1.5590000000000002;1.376;1.294;1.202;1.1179999999999999;1.304;1.3130000000000002;1.3130000000000002;1.3130000000000002;1.219;1.6340000000000001;1.641;1.642;1.642;1.659;1.676;1.771;1.9569999999999999
aus;surviving_kids_per_woman;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.07;3.0610000000000004;3.051;3.042;3.032;3.023;3.013;3.0039999999999996;2.9939999999999998;2.985;2.975;2.966;2.9560000000000004;2.947;2.937;2.928;2.918;2.909;2.8989999999999996;2.89;2.88;2.8710000000000004;2.862;2.852;2.843;2.833;2.813;2.793;2.773;2.753;2.733;2.713;2.694;2.674;2.654;2.634;2.614;2.594;2.574;2.5540000000000003;2.5340000000000003;2.5140000000000002;2.494;2.474;2.454;2.434;2.414;2.395;2.375;2.355;2.335;2.366;2.221;2.373;2.2969999999999997;2.512;2.449;2.657;2.695;2.714;2.695;2.676;2.74;2.638;2.714;2.6639999999999997;2.5180000000000002;2.556;2.563;2.449;2.449;2.484;2.425;2.523;2.4819999999999998;2.495;2.495;2.504;2.533;2.634;2.597;2.668;2.6069999999999998;2.699;2.761;2.839;2.883;2.9;2.9589999999999996;2.8930000000000002;2.984;2.9410000000000003;2.9360000000000004;2.858;2.74;2.705;2.5780000000000003;2.56;2.5180000000000002;2.5269999999999997;2.576;2.5660000000000003;2.565;2.474;2.582;2.6060000000000003;2.487;2.528;2.528;2.569;2.569;2.733;2.733;2.7739999999999996;2.7739999999999996;2.8139999999999996;2.4619999999999997;2.496;2.496;2.529;2.562;2.603;2.656;2.548;2.541;2.522;2.435;2.394;2.367;2.253;2.2569999999999997;2.063;1.933;1.9140000000000001;1.8419999999999999;1.849;1.9040000000000001;1.9509999999999998;1.9480000000000002;1.963;1.993;2.089;2.099;2.27;2.37;2.465;2.6910000000000003;2.7969999999999997;2.714;2.715;2.7889999999999997;2.782;2.8930000000000002;2.929;2.927;3.0039999999999996;3.054;3.138;3.1630000000000003;3.155;3.1910000000000003;3.28;3.1719999999999997;3.091;2.9160000000000004;2.7489999999999997;2.667;2.6319999999999997;2.668;2.6689999999999996;2.6430000000000002;2.7230000000000003;2.555;2.32;2.162;2.0140000000000002;1.932;1.882;1.839;1.7990000000000002;1.794;1.8359999999999999;1.83;1.834;1.754;1.824;1.781;1.7590000000000001;1.746;1.7519999999999998;1.821;1.778;1.815;1.787;1.771;1.7519999999999998;1.733;1.715;1.7;1.699;1.7;1.6740000000000002;1.7;1.6969999999999998;1.712;1.739;1.7690000000000001;1.7690000000000001;1.7819999999999998;1.889;1.899;1.933;1.9669999999999999;2.015;2.0709999999999997
aut;surviving_kids_per_woman;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.408;2.408;2.408;2.408;2.408;2.408;2.408;2.408;2.408;2.408;2.408;2.408;2.408;2.408;2.408;2.408;2.408;2.408;2.408;2.408;2.408;2.408;2.408;2.408;2.408;2.408;2.408;2.408;2.408;2.408;2.408;2.408;2.408;2.408;2.408;2.408;2.408;2.408;2.408;2.408;2.408;2.408;2.408;2.408;2.408;2.408;2.408;2.408;2.408;2.408;2.408;2.408;2.408;2.408;2.408;2.408;2.408;2.408;2.408;2.408;2.408;2.3890000000000002;2.369;2.35;2.33;2.311;2.291;2.272;2.252;2.233;2.214;2.194;2.318;2.3569999999999998;2.3409999999999997;2.349;2.399;2.305;2.248;2.251;2.256;2.218;2.224;2.201;2.305;2.261;2.2680000000000002;2.258;2.299;2.303;2.199;2.323;2.302;2.3280000000000003;2.381;2.418;2.481;2.443;2.517;2.517;2.5669999999999997;2.574;2.515;2.3280000000000003;2.412;2.3080000000000003;2.378;2.367;2.33;2.362;2.294;2.225;2.278;2.167;2.127;2.04;1.993;1.942;1.8519999999999999;1.795;2.209;2.301;2.29;2.262;2.1830000000000003;2.116;2.009;1.868;1.861;1.781;1.807;1.705;1.66;1.5590000000000002;1.48;1.453;1.446;1.235;1.56;2.326;2.193;2.06;1.953;1.818;1.6840000000000002;1.569;1.571;1.5730000000000002;1.614;1.6159999999999999;1.655;1.6969999999999998;1.8159999999999998;1.899;1.98;2.079;2.157;2.2119999999999997;2.3040000000000003;2.3680000000000003;2.4459999999999997;2.511;2.54;2.551;2.542;2.476;2.44;2.4019999999999997;2.37;2.28;2.101;2.017;1.9269999999999998;1.79;1.7619999999999998;1.6880000000000002;1.5719999999999998;1.518;1.494;1.4980000000000002;1.5490000000000002;1.569;1.558;1.462;1.436;1.391;1.367;1.358;1.3730000000000002;1.3780000000000001;1.39;1.4369999999999998;1.435;1.431;1.403;1.3630000000000002;1.3840000000000001;1.338;1.317;1.288;1.311;1.2819999999999998;1.345;1.329;1.369;1.3619999999999999;1.36;1.335;1.345;1.33;1.32;1.3530000000000002;1.5030000000000001;1.726;1.989
