geo;indicator;2004;2005;2006;2007
abkh;total_number_of_dollar_billionaires;0;0;0;0
abw;total_number_of_dollar_billionaires;0;0;0;0
afg;total_number_of_dollar_billionaires;0;0;0;0
ago;total_number_of_dollar_billionaires;0;0;0;0
aia;total_number_of_dollar_billionaires;0;0;0;0
akr_a_dhe;total_number_of_dollar_billionaires;0;0;0;0
ala;total_number_of_dollar_billionaires;0;0;0;0
alb;total_number_of_dollar_billionaires;0;0;0;0
and;total_number_of_dollar_billionaires;0;0;0;0
ant;total_number_of_dollar_billionaires;0;0;0;0
are;total_number_of_dollar_billionaires;2;2;5;5
arg;total_number_of_dollar_billionaires;1;1;1;1
arm;total_number_of_dollar_billionaires;0;0;0;0
asm;total_number_of_dollar_billionaires;0;0;0;0
atg;total_number_of_dollar_billionaires;0;0;0;0
aus;total_number_of_dollar_billionaires;5;6;7;12
aut;total_number_of_dollar_billionaires;3;4;3;3
aze;total_number_of_dollar_billionaires;0;0;0;0
bdi;total_number_of_dollar_billionaires;0;0;0;0
bel;total_number_of_dollar_billionaires;1;1;2;2
ben;total_number_of_dollar_billionaires;0;0;0;0
bfa;total_number_of_dollar_billionaires;0;0;0;0
bgd;total_number_of_dollar_billionaires;0;0;0;0
bgr;total_number_of_dollar_billionaires;0;0;0;0
bhr;total_number_of_dollar_billionaires;0;0;0;0
bhs;total_number_of_dollar_billionaires;0;0;0;0
bih;total_number_of_dollar_billionaires;0;0;0;0
blr;total_number_of_dollar_billionaires;0;0;0;0
blz;total_number_of_dollar_billionaires;0;0;0;0
bmu;total_number_of_dollar_billionaires;0;0;0;0
bol;total_number_of_dollar_billionaires;0;0;0;0
bra;total_number_of_dollar_billionaires;6;8;16;20
brb;total_number_of_dollar_billionaires;0;0;0;0
brn;total_number_of_dollar_billionaires;0;0;0;0
btn;total_number_of_dollar_billionaires;0;0;0;0
bwa;total_number_of_dollar_billionaires;0;0;0;0
caf;total_number_of_dollar_billionaires;0;0;0;0
can;total_number_of_dollar_billionaires;17;17;22;23
cck;total_number_of_dollar_billionaires;0;0;0;0
chanisl;total_number_of_dollar_billionaires;0;0;0;0
che;total_number_of_dollar_billionaires;7;8;8;8
cheslo;total_number_of_dollar_billionaires;0;0;0;0
chl;total_number_of_dollar_billionaires;3;3;2;3
chn;total_number_of_dollar_billionaires;1;2;8;20
civ;total_number_of_dollar_billionaires;0;0;0;0
cmr;total_number_of_dollar_billionaires;0;0;0;0
cod;total_number_of_dollar_billionaires;0;0;0;0
cog;total_number_of_dollar_billionaires;0;0;0;0
cok;total_number_of_dollar_billionaires;0;0;0;0
col;total_number_of_dollar_billionaires;2;2;2;2
com;total_number_of_dollar_billionaires;0;0;0;0
cpv;total_number_of_dollar_billionaires;0;0;0;0
cri;total_number_of_dollar_billionaires;0;0;0;0
cub;total_number_of_dollar_billionaires;0;0;0;0
cxr;total_number_of_dollar_billionaires;0;0;0;0
cym;total_number_of_dollar_billionaires;0;0;0;0
cyp;total_number_of_dollar_billionaires;0;0;0;2
cyp_nor;total_number_of_dollar_billionaires;0;0;0;0
cze;total_number_of_dollar_billionaires;0;0;1;1
deu;total_number_of_dollar_billionaires;52;57;55;55
deu_east;total_number_of_dollar_billionaires;0;0;0;0
deu_west;total_number_of_dollar_billionaires;0;0;0;0
dji;total_number_of_dollar_billionaires;0;0;0;0
