geo;indicator;1850;1851;1852;1853;1854;1855;1856;1857;1858;1859;1860;1861;1862;1863;1864;1865;1866;1867;1868;1869;1870;1871;1872;1873;1874;1875;1876;1877;1878;1879;1880;1881;1882;1883;1884;1885;1886;1887;1888;1889;1890;1891;1892;1893;1894;1895;1896;1897;1898;1899;1900;1901;1902;1903;1904;1905;1906;1907;1908;1909;1910;1911;1912;1913;1914;1915;1916;1917;1918;1919;1920;1921;1922;1923;1924;1925;1926;1927;1928;1929;1930;1931;1932;1933;1934;1935;1936;1937;1938;1939;1940;1941;1942;1943;1944;1945;1946;1947;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000
abw;total_sulfur_emission_kilotonnes;0.03255;0.02172;0.04085;0.03677;0.04559;0.0441;0.06065;0.06947;0.07313;0.06906;0.09851;0.09698999999999999;0.1084;0.09652999999999999;0.1234;0.1218;0.1023;0.1291;0.125;0.1518;0.1348;0.1229;0.1497;0.1329;0.1496;0.1508;0.1622;0.1427;0.1541;0.15;0.1357;0.1372;0.151;0.1125;0.1492;0.1379;0.1287;0.1093;0.1334;0.1067;0.1167;0.1088;0.124;0.1379;0.1435;0.1452;0.1471;0.1481;0.1789;0.1955;0.2131;0.2788;0.5653;0.8588;1.1520000000000001;1.442;1.692;1.956;2.31;2.609;2.903;3.113;5.806;9.107000000000001;10.4;11.34;12.51;15.84;16.92;19.3;22.36;23.49;24.19;23.21;23.23;21.94;20.09;17.08;40.08;48.72;60.09;49.43;47.58;49.9;55.34;62.71;67.86;81.88;82.89;81.01;67.6;86.7;47.94;78.33;103.3;123.4;135.7;154.0;162.1;172.3;185.1;204.3;191.1;172.5;175.7;170.6;159.5;133.8;113.8;115.2;107.9;103.4;98.96;92.14;87.81;80.0;73.05;76.89;71.58;69.21;76.21;61.59;56.82;64.5;65.1;38.97;48.63;42.25;40.74;36.72;50.17;40.6;33.3;26.03;22.96;10.04;9.378;11.38;12.1;12.29;13.23;13.43;13.61;13.75;13.9;14.06;14.22;14.39;14.58;14.78;15.0
afg;total_sulfur_emission_kilotonnes;0.0;0.00026000000000000003;0.0005099999999999999;0.0007700000000000001;0.0010199999999999999;0.00128;0.0015300000000000001;0.00179;0.00205;0.0023;0.00256;0.0028;0.0030399999999999997;0.00328;0.00352;0.00375;0.00399;0.004220000000000001;0.00445;0.0046700000000000005;0.0049;0.00557;0.00624;0.0069099999999999995;0.00758;0.009170000000000001;0.01001;0.01073;0.0119;0.013000000000000001;0.013630000000000001;0.014169999999999999;0.01495;0.01612;0.01791;0.01974;0.01976;0.021580000000000002;0.02366;0.02655;0.028460000000000003;0.03115;0.03306;0.032189999999999996;0.036739999999999995;0.03995;0.04227;0.04361;0.05006;0.05331;0.05892000000000001;0.06623;0.07211000000000001;0.07592;0.07983;0.08502;0.1164;0.1245;0.1332;0.1344;0.1394;0.1491;0.1685;0.1907;0.1991;0.1975;0.2263;0.24600000000000002;0.2534;0.2828;0.2241;0.2381;0.24600000000000002;0.2668;0.2823;0.28600000000000003;0.2878;0.3031;0.3106;0.3188;0.3186;0.3005;0.2911;0.3102;0.3416;0.3631;0.3861;0.3984;0.4026;0.4352;0.4903;0.5205;0.5203;0.4976;0.48700000000000004;0.3026;0.2475;0.2797;0.2926;0.3859;0.6177;0.7724;0.9272;1.082;1.237;1.7790000000000001;1.78;2.245;2.633;3.176;3.719;5.1160000000000005;8.684;7.678999999999999;8.767999999999999;11.18;12.58;11.73;9.713;10.65;12.75;10.5;5.73;9.107999999999999;8.955;11.68;12.47;13.25;16.92;10.3;9.286;9.758;11.32;11.33;11.57;11.8;60.76;60.91;58.25;58.4;57.85;59.38;60.95;62.56;64.21;65.91;67.65;69.43;71.27;73.15;75.08
ago;total_sulfur_emission_kilotonnes;5.9999999999999995e-05;5.9999999999999995e-05;0.00011999999999999999;0.00016999999999999999;0.00022999999999999998;0.00029;0.00035;0.00041;0.00047000000000000004;0.00053;0.00058;0.00116;0.0017399999999999998;0.00231;0.0028899999999999998;0.0034700000000000004;0.00404;0.00462;0.0052;0.0057799999999999995;0.00635;0.0069299999999999995;0.007529999999999999;0.00813;0.00873;0.00933;0.00993;0.01054;0.01114;0.01174;0.01234;0.013969999999999998;0.013030000000000002;0.01311;0.0132;0.014519999999999998;0.01585;0.017169999999999998;0.01855;0.02062;0.0218;0.018369999999999997;0.0237;0.0207;0.025730000000000003;0.022719999999999997;0.02555;0.028789999999999996;0.029769999999999998;0.03003;0.03588;0.039080000000000004;0.07816000000000001;0.1172;0.1563;0.1954;0.2345;0.2735;0.3126;0.3517;0.3908;0.4299;0.4689;0.508;0.5471;0.5862;0.6252;0.6643;0.7034;0.7425;0.7816;0.8206;0.8597;0.8988;0.9379;0.9769;1.016;1.055;1.094;1.133;1.172;1.2109999999999999;9.065;6.468;3.903;3.926;3.95;3.9730000000000003;3.997;4.02;4.044;4.056;6.497999999999999;6.482;4.083;4.088;4.0680000000000005;4.063;15.45;24.32;39.31;43.99;46.61;39.59;38.05;37.86;32.04;35.16;35.69;34.41;43.0;37.8;72.74;85.54;92.25;89.73;100.7;85.58;96.02;99.7;134.5;133.5;128.4;141.1;134.9;77.43;64.23;68.94;68.52;70.85;77.18;67.78;62.49;62.61;66.08;69.75;67.48;66.2;63.58;62.54;64.03;64.62;66.58;62.57;69.54;64.87;62.33;61.4;60.6;59.04;49.56
alb;total_sulfur_emission_kilotonnes;9e-05;0.0001;0.00011999999999999999;0.00014;0.00016;0.00018;0.00021;0.00022999999999999998;0.00026000000000000003;0.00026000000000000003;0.00028;0.00029;0.00033;0.00036;0.0004;0.00043;0.00045;0.00049;0.00053;0.00057;0.00061;0.00072;0.0007700000000000001;0.00082;0.00086;0.0008699999999999999;0.0009199999999999999;0.00091;0.00099;0.00105;0.00119;0.00125;0.00131;0.00145;0.00149;0.0015400000000000001;0.00158;0.0016;0.00176;0.0019199999999999998;0.00199;0.0021;0.00209;0.00225;0.00235;0.0025;0.00264;0.00282;0.0031;0.00331;0.0036299999999999995;0.00367;0.00359;0.0037600000000000003;0.00392;0.00398;0.0043;0.00473;0.0049;0.00505;0.005;0.00535;0.00585;0.00636;0.00543;0.01086;0.016280000000000003;0.02169;0.0271;0.0325;0.0379;0.04308;0.04819;0.053239999999999996;0.05824;0.06317;0.06804;0.07286000000000001;0.07761;0.0823;0.08693;0.09151000000000001;0.09602000000000001;0.1005;0.1049;0.1092;0.1135;0.1177;0.1218;0.1259;0.13;0.1334;0.1367;0.14;0.1431;0.1461;0.1491;0.1519;0.1547;0.1573;0.5;0.7216;0.8086;1.077;1.469;2.0;2.784;4.143;4.754;5.428999999999999;6.0;7.777;8.801;7.925;9.133;11.5;13.13;16.36;18.14;21.97;24.5;24.45;26.55;25.42;27.21;30.5;27.45;30.23;31.04;40.41;46.5;48.81;50.02;49.78;44.59;47.07;46.59;49.06;50.28;49.92;48.76;34.24;12.53;9.915;8.323;7.492000000000001;7.466;5.356;5.4479999999999995;4.115;4.008
ant;total_sulfur_emission_kilotonnes;0.07178999999999999;0.047889999999999995;0.0901;0.08111;0.1006;0.09726;0.1338;0.1532;0.1613;0.1523;0.2173;0.2139;0.239;0.2129;0.2721;0.2687;0.2255;0.2847;0.2756;0.3348;0.2973;0.2711;0.3302;0.2931;0.3299;0.3326;0.3578;0.3147;0.3399;0.3309;0.2993;0.3027;0.3331;0.248;0.3292;0.3042;0.2838;0.24100000000000002;0.2941;0.2354;0.2574;0.2399;0.2734;0.304;0.3166;0.3202;0.3245;0.3267;0.3945;0.4311;0.47;0.6149;1.247;1.8940000000000001;2.541;3.179;3.7310000000000003;4.315;5.093999999999999;5.752999999999999;6.404;6.8660000000000005;12.81;20.09;22.93;25.01;27.6;34.94;37.32;42.56;49.32;51.81;53.34;51.2;51.23;48.38;44.31;37.66;88.41;107.4;132.5;109.0;104.9;110.1;122.1;138.3;149.7;180.6;182.8;178.7;149.1;191.2;105.7;172.8;227.9;272.1;299.2;339.7;357.5;380.1;408.3;449.5;424.2;386.3;396.9;388.9;366.7;310.3;266.3;271.9;257.1;248.0;229.8;223.3;214.7;199.1;185.2;198.5;188.5;184.5;204.4;167.5;156.5;178.7;182.8;110.6;139.0;121.3;117.0;105.3;143.6;116.5;95.47;74.53;65.68;28.63;26.67;32.3;34.28;34.76;37.48;38.16;38.89;39.67;40.45;41.24;42.05;42.86;43.68;44.49;45.31
are;total_sulfur_emission_kilotonnes;0.0;2e-05;4e-05;5.9999999999999995e-05;9e-05;0.00011;0.00013000000000000002;0.00015;0.00016999999999999999;0.00018999999999999998;0.00021;0.00023999999999999998;0.00026000000000000003;0.00028;0.0003;0.00032;0.00033999999999999997;0.00036;0.00039;0.00041;0.00043;0.00045;0.00047000000000000004;0.00049;0.0005200000000000001;0.00054;0.00056;0.00058;0.0006;0.00062;0.00065;0.001;0.00135;0.0017;0.00205;0.0024;0.00275;0.0031;0.00345;0.00381;0.0041600000000000005;0.00435;0.0045;0.0045899999999999995;0.00462;0.00457;0.006529999999999999;0.008459999999999999;0.01039;0.01247;0.0145;0.01739;0.0271;0.0382;0.06527000000000001;0.05947;0.06894;0.08202999999999999;0.09152;0.09739;0.1007;0.1077;0.1354;0.1542;0.121;0.09034;0.1508;0.1411;0.1274;0.09695;0.1164;0.1145;0.1372;0.1564;0.1649;0.1642;0.2109;0.2055;0.2052;0.2001;0.1873;0.1869;0.2996;0.4073;0.3093;0.3763;0.5161;0.5896;0.7422;0.7354;0.5751;0.5708;0.4789;0.37799999999999995;0.4983;0.5318;0.6113;0.722;0.7787;0.8621;1.383;1.34;0.6537;0.6561;0.6894;0.8082;0.877;0.943;0.9376;0.9139;1.047;0.9717;1.005;0.304;2.242;1.266;1.6969999999999998;2.127;1.629;0.8848;0.1405;3.378;0.5329;2.064;8.89;3.2430000000000003;3.6039999999999996;8.384;4.178999999999999;31.52;8.845;36.78;41.99;33.64;65.85;67.01;68.17;76.34;76.2;74.06;77.17;76.67;72.99;69.04;70.26;68.11;67.52;64.27;63.27;53.14;53.49
arg;total_sulfur_emission_kilotonnes;0.00512;0.0034200000000000003;0.00643;0.00579;0.00717;0.006940000000000001;0.00954;0.01093;0.0115;0.01086;0.0155;0.01526;0.01705;0.01518;0.01941;0.01917;0.01609;0.020309999999999998;0.01966;0.023880000000000002;0.0212;0.01933;0.02355;0.0209;0.023530000000000002;0.023719999999999998;0.025519999999999998;0.02245;0.02424;0.0236;0.02135;0.02159;0.02376;0.01769;0.02348;0.02169;0.02024;0.01719;0.020980000000000002;0.01679;0.018359999999999998;0.01711;0.0195;0.02168;0.022580000000000003;0.02284;0.02315;0.0233;0.02814;0.03075;0.03352;0.04385;0.08767;0.1314;0.1752;0.2188;0.2625;0.3061;0.3497;0.3916;0.4398;0.4753;0.5618;0.6611;0.8498;1.115;1.5019999999999998;1.8630000000000002;2.026;1.895;2.39;2.9389999999999996;3.717;4.124;5.31;8.022;16.85;16.44;15.02;16.17;15.64;18.48;18.96;20.52;19.57;19.51;25.52;34.31;45.18;53.59;65.54;61.75;60.49;50.76;47.42;43.25;44.52;45.65;43.62;39.77;384.8;454.2;424.6;421.6;431.9;415.3;471.6;538.9;506.7;483.7;361.9;269.1;190.1;187.1;204.9;282.9;280.7;248.7;208.0;238.6;226.3;250.6;200.1;242.1;289.8;261.3;271.8;298.5;239.9;257.0;270.7;229.2;200.4;148.9;152.7;158.2;177.5;181.7;198.8;192.4;173.2;168.9;175.4;168.7;173.7;165.4;174.1;192.3;196.6;205.6;200.2
arm;total_sulfur_emission_kilotonnes;0.00481;0.0054;0.010790000000000001;0.01611;0.02138;0.026739999999999996;0.032510000000000004;0.03822;0.04331;0.04883;0.0542;0.06393;0.06462000000000001;0.06835;0.07447999999999999;0.07562;0.08441;0.09593;0.07935;0.1094;0.1205;0.1627;0.1689;0.1591;0.1875;0.2232;0.2725;0.2719;0.3611;0.3712;0.4331;0.4546;0.4831;0.547;0.5357;0.574;0.598;0.5895;0.6767;0.7946;0.7721;0.8203;0.8799;0.9977;1.0959999999999999;1.2009999999999998;1.24;1.429;1.6030000000000002;1.886;2.141;2.165;2.1180000000000003;2.2230000000000003;2.4330000000000003;2.2230000000000003;2.532;2.9130000000000003;2.963;3.074;2.989;3.263;3.555;4.117;3.4339999999999997;3.073;3.377;3.0439999999999996;1.237;0.9470000000000001;0.8638;0.9465;1.173;1.306;1.6369999999999998;1.675;2.526;3.197;3.5580000000000003;4.071000000000001;4.965;5.903;6.496;7.5;9.176;10.63;12.38;12.73;13.51;14.8;16.65;16.41;16.18;15.95;15.7;15.47;16.98;18.84;21.22;23.61;25.97;27.96;29.78;31.41;34.13;38.21;41.6;44.29;46.1;46.94;47.59;47.19;48.37;49.2;50.92;53.28;54.34;55.69;55.99;57.19;58.93;60.26;61.83;63.51;65.8;67.77;68.07;69.74;70.41;70.01;70.5;55.35;50.65;55.15;48.45;50.1;55.6;55.3;52.05;31.35;36.0;29.75;22.05;2.75;2.1;1.25;0.75;0.2;1.655;0.42;4.2010000000000005
atg;total_sulfur_emission_kilotonnes;9e-05;5.9999999999999995e-05;0.00011;0.0001;0.00011999999999999999;0.00011999999999999999;0.00016999999999999999;0.00018999999999999998;0.0002;0.00018999999999999998;0.00027;0.00026000000000000003;0.0003;0.00026000000000000003;0.00033999999999999997;0.00033;0.00028;0.00035;0.00033999999999999997;0.00041;0.00037;0.00033999999999999997;0.00041;0.00036;0.00041;0.00041;0.00044;0.00039;0.00042;0.00041;0.00037;0.00037;0.00041;0.00031;0.00041;0.00037999999999999997;0.00035;0.0003;0.00036;0.00029;0.00032;0.0003;0.00033999999999999997;0.00037999999999999997;0.00039;0.0004;0.0004;0.0004;0.00049;0.00053;0.00058;0.0007599999999999999;0.00078;0.0008900000000000001;0.0009400000000000001;0.00105;0.0010400000000000001;0.0011300000000000001;0.00124;0.00135;0.0013800000000000002;0.00164;0.0016300000000000002;0.00147;0.00145;0.00179;0.00217;0.00262;0.0029100000000000003;0.00245;0.00264;0.00218;0.00259;0.00331;0.0033;0.00358;0.00389;0.00427;0.00511;0.00549;0.0047799999999999995;0.0042899999999999995;0.00295;0.00355;0.0045899999999999995;0.00481;0.00491;0.006659999999999999;0.00655;0.00646;0.00675;0.007679999999999999;0.00715;0.007890000000000001;0.00825;0.00868;0.00982;0.009179999999999999;0.00953;0.00985;0.01257;0.08486;0.013819999999999999;0.02597;0.01349;0.02925;0.05753;0.0858;0.1141;0.1424;0.1706;0.1989;0.2272;0.2555;0.2837;0.312;0.3403;1.023;2.1630000000000003;2.041;3.3539999999999996;3.7910000000000004;3.986;3.325;2.123;0.9268;0.4629;0.9373;0.9167;1.0190000000000001;1.1340000000000001;1.149;1.095;1.0270000000000001;1.1059999999999999;1.156;1.411;1.463;1.444;1.517;1.508;1.466;1.4469999999999998;1.4680000000000002;1.52;1.456;1.544;1.5830000000000002;1.574;1.617;1.608
aus;total_sulfur_emission_kilotonnes;5.71;4.579;5.732;2.3169999999999997;1.185;1.196;4.633;4.644;4.655;4.666;5.818;5.829;6.981;8.133;10.43;9.296;13.88;18.46;19.61;19.63;10.51;12.81;13.97;13.99;12.87;12.88;12.88;14.02;10.6;10.59;10.59;21.0;23.67;28.22;34.06;30.28;26.75;25.5;29.71;34.82;34.76;42.23;38.36;41.56;44.73;48.22;53.01;62.2;69.61;80.73;84.3;89.6;83.83;88.41;94.52;106.3;111.4;133.2;134.2;124.8;145.2;154.4;164.6;167.8;148.7;130.7;121.0;121.4;125.5;81.99;103.8;96.43;105.4;119.6;118.1;118.3;114.5;123.7;117.3;114.5;109.7;94.77;108.4;110.6;112.2;119.6;131.4;146.2;152.2;160.9;158.3;170.5;169.8;160.6;160.7;148.6;152.8;156.3;162.1;164.7;182.1;185.3;198.5;214.7;243.3;285.2;322.1;335.3;359.1;375.5;406.1;396.4;417.5;444.3;432.6;432.9;457.5;468.0;487.2;497.4;502.6;458.0;486.3;489.9;525.7;537.3;577.5;609.6;591.6;609.2;574.8;622.2;690.7;670.4;627.1;618.8;646.4;712.8;631.2;766.0;818.0;839.0;889.0;914.5;950.0;898.0;926.5;920.5;914.0;962.5;1212.0
