geo;indicator;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
afg;traffic_deaths_men_per_100000_people;101.34;100.66;100.77;103.3;103.83;104.89;105.6;105.79;106.24;105.97;105.94;107.35;106.53;108.49;108.53;108.95;106.77;104.98;103.47;101.7;98.24;95.76;94.54;96.19;95.86;95.32;94.98
ago;traffic_deaths_men_per_100000_people;54.27;53.47;51.02;50.67;56.08;56.01;46.15;44.57;47.88;46.27;47.03;45.66;44.68;44.66;45.55;45.26;45.07;45.02;45.46;43.95;43.11;42.23;40.95;40.12;39.53;38.18;36.8
alb;traffic_deaths_men_per_100000_people;21.56;22.09;22.42;21.96;21.25;20.08;18.95;18.17;18.16;18.07;18.18;19.38;19.83;19.9;19.29;17.96;17.45;17.89;18.53;16.41;16.18;15.74;15.4;15.15;14.93;14.72;14.45
and;traffic_deaths_men_per_100000_people;14.66;14.46;14.33;13.48;12.69;12.19;11.62;11.34;10.91;10.47;10.04;9.66;9.22;9.07;9.06;8.85;8.62;8.44;8.23;8.07;7.94;7.96;7.96;7.87;7.66;7.67;7.64
are;traffic_deaths_men_per_100000_people;63.66;63.75;63.35;62.99;62.53;62.01;61.18;64.34;59.41;58.69;57.59;56.94;56.07;57.97;59.29;56.37;54.97;55.48;64.73;65.5;66.13;66.66;66.99;67.32;67.51;67.36;66.88
arg;traffic_deaths_men_per_100000_people;25.68;25.83;26.21;26.68;27.17;27.03;27.15;27.46;27.8;28.03;27.08;26.76;26.07;25.74;25.46;25.56;25.92;26.09;26.13;25.98;25.85;26.21;26.38;26.38;26.1;25.36;24.61
arm;traffic_deaths_men_per_100000_people;31.87;32.32;32.55;34.3;28.69;27.01;26.89;24.58;23.13;22.21;21.0;20.26;19.5;19.12;18.36;18.26;17.88;17.23;17.29;16.84;16.2;15.95;15.63;15.01;14.81;15.62;15.69
asm;traffic_deaths_men_per_100000_people;21.48;21.46;21.2;20.61;20.35;20.15;19.98;19.97;19.02;17.98;17.36;16.98;16.94;17.4;17.97;17.82;17.19;16.6;15.89;15.33;14.88;14.61;14.22;14.25;14.25;14.23;14.11
atg;traffic_deaths_men_per_100000_people;15.8;15.61;15.06;14.56;14.07;13.93;14.21;14.41;15.57;16.06;16.05;16.45;16.36;16.72;16.82;17.5;17.16;16.96;16.73;16.91;16.17;15.66;16.02;15.54;15.69;15.71;15.57
aus;traffic_deaths_men_per_100000_people;24.91;22.54;21.2;20.16;19.53;19.12;18.84;17.99;17.69;17.4;16.95;16.29;15.62;14.93;14.33;13.84;13.49;12.97;12.52;12.07;11.52;11.02;10.61;10.1;9.88;9.95;10.01
aut;traffic_deaths_men_per_100000_people;28.72;27.74;26.42;25.87;25.02;23.36;21.66;20.86;19.41;18.94;18.32;17.38;16.7;16.15;15.56;14.67;13.78;13.12;12.29;11.77;11.14;10.39;9.83;9.12;8.69;8.72;8.69
aze;traffic_deaths_men_per_100000_people;31.37;32.11;36.26;32.5;31.93;35.35;22.35;19.91;17.45;16.4;15.99;15.23;15.8;15.21;15.3;15.94;14.98;13.99;14.56;14.24;14.35;14.02;14.11;14.13;14.1;14.12;14.1
bdi;traffic_deaths_men_per_100000_people;63.64;64.01;64.23;64.54;64.96;65.31;64.09;61.87;60.01;56.45;54.8;51.41;49.78;53.05;48.43;48.27;47.43;46.73;46.25;46.64;46.56;46.99;47.69;47.48;48.1;48.4;47.93
bel;traffic_deaths_men_per_100000_people;30.66;30.27;29.31;29.03;28.37;27.12;26.17;25.56;25.36;25.31;25.35;24.39;22.82;21.32;20.13;19.01;18.24;17.9;17.11;16.32;15.69;14.91;14.04;13.34;12.79;12.69;12.76
ben;traffic_deaths_men_per_100000_people;36.87;37.72;37.4;37.27;37.96;38.11;38.74;38.22;38.67;38.58;38.77;38.77;38.11;41.79;36.76;35.98;35.71;35.2;35.13;35.18;33.51;33.68;34.05;33.43;33.21;32.99;32.64
bfa;traffic_deaths_men_per_100000_people;38.51;37.26;37.17;37.47;37.21;37.02;36.73;36.97;37.41;36.99;37.36;36.43;35.95;35.53;35.11;34.74;34.53;34.29;33.89;33.98;33.61;32.97;33.88;34.17;34.09;33.77;33.51
bgd;traffic_deaths_men_per_100000_people;18.12;17.27;16.99;16.23;17.21;17.57;17.29;17.09;17.04;17.98;20.68;21.45;22.5;24.99;24.98;27.14;26.88;27.54;27.16;27.51;28.03;28.59;30.47;30.67;31.55;31.34;29.96
bgr;traffic_deaths_men_per_100000_people;26.99;25.57;25.85;25.56;25.64;24.33;22.77;22.24;21.37;20.85;20.61;20.56;20.08;20.22;20.45;20.68;21.31;21.33;21.15;19.91;18.39;17.19;16.2;15.8;14.44;14.37;14.3
bhr;traffic_deaths_men_per_100000_people;47.21;45.26;46.56;46.65;46.92;46.73;46.08;40.28;39.09;38.72;72.28;37.69;36.1;34.61;33.93;32.57;39.3;29.41;27.05;24.9;22.97;21.74;21.64;21.32;21.13;21.26;21.27
bhs;traffic_deaths_men_per_100000_people;37.36;35.67;33.86;31.53;32.4;31.65;31.96;34.38;35.43;32.82;35.04;34.9;37.6;27.98;28.23;30.47;29.02;30.66;30.74;31.37;29.74;29.97;29.05;29.33;28.57;28.08;27.99
bih;traffic_deaths_men_per_100000_people;12.66;12.35;12.44;12.52;12.53;12.38;11.98;11.94;10.9;10.76;10.73;10.83;10.98;11.13;11.3;11.45;11.52;11.53;11.86;11.41;11.28;10.98;11.53;11.93;12.34;12.21;12.22
blr;traffic_deaths_men_per_100000_people;39.83;42.14;43.69;44.73;44.4;44.55;43.41;42.39;42.66;42.36;40.57;41.23;42.88;42.02;41.12;41.08;39.51;37.37;36.89;35.3;34.06;33.19;28.38;25.59;23.46;23.29;23.2
blz;traffic_deaths_men_per_100000_people;35.04;35.97;36.5;36.54;38.62;40.92;44.11;70.69;52.51;53.95;53.63;55.49;54.13;52.76;50.8;50.8;48.41;47.25;46.11;44.84;42.57;42.66;41.34;41.52;41.44;41.2;41.1
bmu;traffic_deaths_men_per_100000_people;44.39;43.1;41.06;39.04;35.64;33.14;32.77;31.7;30.93;29.46;27.91;27.84;27.17;27.19;27.23;28.85;28.64;28.8;28.5;28.41;27.23;25.84;24.92;24.15;23.89;23.79;23.22
bol;traffic_deaths_men_per_100000_people;60.18;58.41;56.64;55.12;53.19;51.99;50.36;49.5;48.43;47.6;46.43;45.09;44.07;42.9;41.83;38.49;37.86;37.24;36.91;36.67;36.35;35.98;35.95;35.31;34.72;34.41;34.14
bra;traffic_deaths_men_per_100000_people;55.28;54.33;53.24;52.36;52.18;52.12;52.32;50.82;48.7;47.47;46.02;44.91;44.51;44.01;43.73;43.41;42.96;42.72;42.53;42.45;42.67;42.46;42.3;41.41;40.89;39.72;39.37
brb;traffic_deaths_men_per_100000_people;19.52;19.7;19.26;18.77;18.12;17.91;18.14;18.35;18.74;19.17;19.37;19.12;19.31;19.41;19.33;19.34;18.91;18.47;17.69;17.89;17.34;17.87;17.33;17.05;17.27;17.34;17.38
brn;traffic_deaths_men_per_100000_people;40.55;40.84;40.29;39.73;40.0;40.21;40.29;38.72;36.72;33.73;31.69;30.59;28.59;26.6;25.49;25.35;25.48;25.36;24.54;24.23;23.47;23.4;23.54;23.79;24.21;24.31;24.19
btn;traffic_deaths_men_per_100000_people;25.86;25.42;25.05;25.19;24.81;24.39;23.25;23.4;22.99;21.86;22.03;21.48;20.97;20.77;20.15;19.83;19.33;19.1;18.66;19.25;18.9;18.51;18.09;17.76;17.46;17.15;16.88
bwa;traffic_deaths_men_per_100000_people;29.7;29.74;30.21;30.94;32.39;34.06;35.92;37.66;39.53;41.18;42.85;43.61;44.12;42.97;43.23;42.76;41.67;41.35;39.8;38.16;36.76;35.25;34.13;33.06;31.82;31.06;30.61
caf;traffic_deaths_men_per_100000_people;64.26;65.94;65.31;65.4;65.97;65.55;66.84;66.35;67.35;68.63;67.93;68.04;73.61;68.79;70.05;68.92;70.74;70.66;69.5;67.96;69.15;68.69;67.96;67.19;69.88;70.81;64.66
can;traffic_deaths_men_per_100000_people;23.25;22.22;21.19;20.45;19.75;19.1;18.35;17.83;17.21;16.79;16.32;15.94;15.61;15.42;15.16;14.98;14.55;14.13;13.5;12.87;12.41;11.91;11.75;12.02;11.79;11.8;11.66
che;traffic_deaths_men_per_100000_people;27.8;26.28;24.55;22.65;20.94;18.7;16.92;16.04;15.26;14.42;14.3;14.02;12.67;12.36;11.58;10.59;10.01;9.55;9.12;8.7;7.93;7.51;7.21;6.97;6.62;6.59;6.64
chl;traffic_deaths_men_per_100000_people;32.58;31.2;30.08;30.33;30.91;31.46;31.32;30.24;29.09;28.04;28.22;27.89;27.52;27.27;26.75;25.93;25.06;24.64;24.3;24.7;23.49;22.82;22.06;21.53;21.07;20.85;20.74
chn;traffic_deaths_men_per_100000_people;35.04;34.73;35.11;35.82;36.49;37.05;37.87;38.8;39.15;39.84;40.26;41.53;42.66;42.26;41.76;41.48;41.07;40.48;39.75;39.08;38.0;36.84;35.17;34.03;32.97;32.22;31.67
civ;traffic_deaths_men_per_100000_people;40.49;40.78;42.18;43.71;45.05;46.34;46.22;45.27;45.42;44.99;47.08;44.41;43.62;43.2;43.49;42.36;42.15;41.11;40.36;39.88;39.58;39.63;39.94;39.99;39.75;39.46;39.24
cmr;traffic_deaths_men_per_100000_people;34.42;34.91;35.56;34.75;34.54;40.69;35.12;35.93;38.28;36.53;37.22;37.08;37.04;36.93;36.95;37.55;38.79;39.23;37.84;37.39;36.97;36.76;36.56;36.35;36.39;36.01;36.46
cod;traffic_deaths_men_per_100000_people;38.26;38.36;38.37;36.65;36.39;37.31;40.85;36.85;37.75;36.69;36.92;37.27;35.33;38.22;36.26;35.0;34.57;34.72;35.65;34.98;33.87;34.86;34.44;33.77;34.46;34.04;33.3
cog;traffic_deaths_men_per_100000_people;58.27;62.46;51.59;82.74;52.65;53.02;52.19;53.22;50.14;49.2;46.88;45.45;39.49;39.49;39.54;36.75;34.74;34.29;33.7;32.77;33.85;29.82;32.15;30.39;30.46;30.41;30.51
col;traffic_deaths_men_per_100000_people;44.01;46.75;47.48;47.4;46.82;47.08;46.5;44.7;43.88;42.95;42.47;41.23;40.71;36.2;35.11;32.55;32.55;31.06;30.77;31.45;29.68;27.87;27.39;26.51;25.97;25.48;25.04
com;traffic_deaths_men_per_100000_people;40.81;40.4;39.94;39.53;39.2;39.03;127.89;38.68;46.47;27.18;26.37;25.09;30.72;23.65;26.95;35.07;40.32;50.87;26.51;81.88;25.7;60.69;35.83;34.99;25.19;24.96;24.72
cpv;traffic_deaths_men_per_100000_people;14.57;14.91;15.17;15.67;16.47;17.69;20.61;21.86;22.16;31.67;21.74;22.48;22.47;22.43;22.39;22.32;22.34;46.29;22.02;21.86;21.8;21.76;21.04;20.79;20.52;25.63;19.95
cri;traffic_deaths_men_per_100000_people;34.28;34.06;34.43;34.66;35.22;34.61;34.13;34.95;35.03;35.2;35.28;34.34;33.63;32.42;31.56;30.76;30.14;29.51;28.93;28.14;27.54;27.03;26.96;26.66;26.52;26.2;25.9
cub;traffic_deaths_men_per_100000_people;35.3;34.89;34.65;34.42;34.36;33.26;32.08;31.85;28.65;26.51;24.81;23.17;21.64;20.14;18.99;18.22;16.94;16.0;15.43;14.9;14.69;13.97;13.76;13.54;13.56;13.53;13.48
cyp;traffic_deaths_men_per_100000_people;39.27;40.62;39.79;40.69;41.97;41.24;41.2;41.42;41.5;40.17;38.99;37.31;35.54;34.01;33.49;38.52;29.05;27.99;25.69;24.43;22.54;20.51;19.42;19.09;18.81;19.1;19.32
cze;traffic_deaths_men_per_100000_people;25.6;26.41;26.96;26.92;27.09;26.61;25.85;25.48;24.61;24.3;23.71;23.04;22.7;22.01;21.02;20.14;19.25;18.77;17.87;16.84;16.05;15.24;14.52;14.03;13.52;13.0;12.71
deu;traffic_deaths_men_per_100000_people;22.14;22.02;21.32;20.67;20.08;19.31;18.6;18.0;17.55;16.57;15.77;14.85;14.1;13.36;12.41;11.59;10.91;10.4;9.82;9.35;8.93;8.67;8.24;7.92;7.75;7.69;7.63
dji;traffic_deaths_men_per_100000_people;33.06;33.17;32.96;32.72;32.61;32.46;32.28;31.98;31.65;30.96;30.25;29.65;29.3;29.13;28.85;28.61;61.18;28.48;28.41;28.28;28.01;27.76;27.48;27.11;26.6;26.31;25.98
dma;traffic_deaths_men_per_100000_people;25.73;26.83;27.1;27.28;27.17;27.38;27.99;28.78;28.94;28.24;26.28;27.08;27.25;27.19;27.27;28.64;27.95;28.25;28.33;28.8;28.57;29.44;28.75;29.0;28.64;29.16;29.13
dnk;traffic_deaths_men_per_100000_people;21.68;21.42;20.8;20.08;19.21;18.77;17.93;17.26;16.61;16.21;15.43;14.83;14.51;14.03;13.1;12.39;11.73;11.36;10.79;9.66;8.65;7.94;7.28;6.86;6.68;6.73;6.8
dom;traffic_deaths_men_per_100000_people;38.18;37.17;39.08;38.88;42.13;41.33;47.62;41.93;41.97;40.11;38.52;36.98;35.88;36.09;36.24;34.62;34.72;34.18;34.08;34.21;34.39;34.24;35.42;34.09;33.75;33.44;33.29
dza;traffic_deaths_men_per_100000_people;64.21;62.3;60.96;59.92;58.89;57.91;57.45;57.78;57.62;56.63;55.02;53.97;53.15;52.29;50.4;48.91;47.74;46.55;45.29;44.31;43.29;42.58;42.05;41.72;41.74;40.82;40.37
ecu;traffic_deaths_men_per_100000_people;51.99;51.61;51.01;50.19;48.72;48.24;47.54;47.08;47.42;45.25;45.66;45.52;46.06;46.59;43.83;44.93;45.62;46.5;47.17;47.57;47.38;46.69;45.79;44.94;43.91;42.47;41.48
egy;traffic_deaths_men_per_100000_people;81.91;81.2;76.02;75.72;75.41;73.46;71.95;71.24;68.81;68.11;65.9;67.11;67.87;66.38;65.56;63.8;66.84;63.46;63.75;64.7;64.55;64.73;63.86;62.18;60.62;59.69;58.77
eri;traffic_deaths_men_per_100000_people;42.7;41.78;39.43;37.61;37.16;36.89;41.7;35.99;35.5;34.8;34.26;33.84;33.56;33.09;34.27;33.87;33.43;33.06;32.91;32.61;32.56;32.31;32.25;32.1;31.99;32.0;31.94
esp;traffic_deaths_men_per_100000_people;32.9;31.82;29.74;27.76;25.92;24.46;23.56;23.86;23.83;23.34;23.2;22.1;21.32;20.44;18.8;17.25;16.02;14.59;13.28;11.39;10.27;9.44;8.78;8.45;7.8;7.92;8.04
est;traffic_deaths_men_per_100000_people;44.38;47.35;47.13;52.78;91.34;53.95;41.27;41.32;41.27;36.24;33.3;33.63;31.91;28.31;27.27;25.22;24.48;24.19;19.64;17.03;14.44;13.97;13.7;11.51;11.81;11.73;11.59
eth;traffic_deaths_men_per_100000_people;50.94;49.81;48.02;46.46;45.13;44.42;42.51;41.78;40.37;38.95;38.33;37.23;35.9;35.05;34.39;33.98;33.7;32.99;32.37;32.09;31.71;31.43;31.26;31.09;31.13;31.18;31.11
fin;traffic_deaths_men_per_100000_people;26.41;24.96;23.17;21.19;20.18;19.2;18.17;17.5;17.59;16.68;16.05;15.75;15.28;14.8;14.41;14.19;13.93;13.46;12.75;12.02;11.26;10.48;9.77;9.23;8.8;8.23;8.09
fji;traffic_deaths_men_per_100000_people;24.19;24.3;24.23;24.5;24.73;24.89;25.11;25.29;24.42;29.49;25.43;24.93;24.03;24.04;24.06;23.82;23.55;22.68;21.34;20.1;19.48;18.66;18.75;19.15;19.6;20.0;20.37
fra;traffic_deaths_men_per_100000_people;29.85;28.9;28.01;26.9;25.99;25.13;24.46;23.98;23.53;22.84;23.23;21.29;19.96;18.54;17.26;16.32;15.34;14.63;14.0;13.49;12.92;12.32;11.62;11.09;10.81;10.78;10.75
fsm;traffic_deaths_men_per_100000_people;31.85;31.78;31.77;31.61;31.57;31.56;31.49;31.56;31.42;31.46;31.4;31.21;31.03;30.86;30.78;30.67;30.84;31.14;31.27;31.22;31.53;31.44;30.53;30.18;30.14;31.13;30.62
gab;traffic_deaths_men_per_100000_people;63.19;76.43;59.9;63.73;56.87;59.33;56.53;54.13;51.85;48.16;48.25;47.59;47.24;43.98;45.45;42.42;41.07;42.93;43.89;41.23;38.52;37.8;37.1;40.27;36.21;35.63;34.85
gbr;traffic_deaths_men_per_100000_people;15.34;14.61;13.89;13.26;12.89;12.61;12.35;12.17;11.81;11.58;11.41;11.13;10.86;10.52;10.11;9.77;9.59;9.16;8.65;8.12;7.46;6.98;6.63;6.4;6.37;6.32;6.38
geo;traffic_deaths_men_per_100000_people;37.29;37.73;42.43;33.77;28.92;25.17;22.36;20.5;18.01;17.53;17.36;18.6;19.13;19.6;21.98;22.61;24.04;24.43;25.85;26.72;26.65;26.77;27.54;29.42;32.29;30.51;29.64
gha;traffic_deaths_men_per_100000_people;29.8;29.08;29.55;28.77;28.87;28.95;28.42;29.24;28.72;29.89;29.3;30.5;32.16;31.67;31.98;31.91;33.53;31.73;30.97;30.91;30.78;30.61;30.65;30.75;30.7;30.55;30.18
gin;traffic_deaths_men_per_100000_people;27.4;27.58;39.91;28.44;29.07;32.15;29.43;29.23;29.28;29.34;28.52;29.8;28.74;28.32;28.18;27.71;27.95;29.04;28.08;27.89;28.16;27.8;27.94;27.21;27.67;26.78;26.62
