geo;indicator;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
afg;traffic_deaths_per_100000_people;51.62;51.51;51.82;53.31;53.87;54.61;54.63;54.37;54.08;53.43;53.12;53.6;53.15;56.18;56.93;56.93;55.22;53.65;52.09;50.55;46.98;45.23;44.86;47.8;48.29;48.32;48.3
ago;traffic_deaths_per_100000_people;35.89;35.3;33.9;33.7;36.05;35.58;30.49;29.74;32.51;31.59;31.81;31.06;30.68;30.79;32.28;31.9;31.67;31.74;31.63;30.32;29.57;28.11;26.54;25.1;23.98;22.76;21.3
alb;traffic_deaths_per_100000_people;12.66;13.08;13.12;12.69;12.14;11.33;10.74;10.39;10.44;10.46;10.58;11.32;11.62;11.7;11.41;10.71;10.55;10.93;11.47;10.28;10.24;10.07;9.95;9.87;9.8;9.73;9.63
and;traffic_deaths_per_100000_people;9.65;9.5;9.38;8.93;8.53;8.14;7.76;7.67;7.38;7.08;6.8;6.56;6.3;6.18;6.22;6.09;5.97;5.87;5.78;5.74;5.68;5.72;5.72;5.68;5.48;5.51;5.48
are;traffic_deaths_per_100000_people;35.09;35.18;35.07;35.06;34.83;34.6;34.15;36.58;33.03;32.74;32.09;31.8;31.73;33.41;35.58;33.68;32.75;33.75;38.35;39.42;40.41;41.04;41.58;41.99;42.37;42.64;42.64
arg;traffic_deaths_per_100000_people;15.86;15.98;16.23;16.53;16.88;16.81;16.9;17.15;17.42;17.6;17.04;16.79;16.37;16.2;16.13;16.27;16.54;16.67;16.74;16.66;16.66;16.92;17.01;16.95;16.79;16.37;15.95
arm;traffic_deaths_per_100000_people;18.9;19.0;18.76;19.48;16.2;15.42;15.41;14.32;13.56;12.89;12.33;12.06;11.62;11.53;11.22;11.26;11.16;10.92;11.07;10.86;10.5;10.34;10.03;9.53;9.26;9.63;9.55
asm;traffic_deaths_per_100000_people;11.49;11.47;11.4;11.22;11.15;11.04;11.01;11.04;10.68;10.04;9.79;9.7;9.71;9.9;10.13;10.03;9.76;9.45;9.09;8.81;8.62;8.63;8.52;8.5;8.47;8.41;8.28
atg;traffic_deaths_per_100000_people;9.1;9.01;8.68;8.43;8.16;8.1;8.24;8.33;8.99;9.21;8.98;9.35;9.49;9.83;9.98;10.45;10.24;10.23;10.06;10.21;9.78;9.49;9.56;9.38;9.47;9.57;9.57
aus;traffic_deaths_per_100000_people;17.79;16.21;15.28;14.47;13.98;13.66;13.32;12.71;12.46;12.2;11.84;11.39;10.98;10.57;10.18;9.86;9.66;9.37;9.09;8.8;8.46;8.18;7.92;7.62;7.51;7.54;7.58
