geo;indicator;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
afg;traffic_deaths_women_per_100000_people;23.74;23.79;23.96;24.63;25.03;25.47;25.6;25.35;25.19;24.7;24.45;24.15;23.67;24.77;25.06;25.08;24.44;23.76;23.19;22.6;21.11;20.3;20.03;21.27;21.35;21.21;21.07
ago;traffic_deaths_women_per_100000_people;22.42;22.35;21.86;22.32;24.05;24.07;21.91;21.47;23.25;22.7;22.64;22.26;22.06;22.32;22.98;22.7;22.55;22.52;22.23;21.39;20.85;19.97;18.97;18.12;17.36;16.53;15.71
alb;traffic_deaths_women_per_100000_people;5.97;6.13;6.03;5.76;5.52;5.1;4.82;4.67;4.62;4.56;4.54;4.8;4.88;4.85;4.7;4.39;4.27;4.37;4.5;3.97;3.84;3.7;3.59;3.51;3.44;3.37;3.31
and;traffic_deaths_women_per_100000_people;3.89;3.82;3.73;3.63;3.52;3.28;3.08;3.12;2.98;2.84;2.7;2.58;2.45;2.39;2.43;2.36;2.32;2.27;2.26;2.29;2.28;2.28;2.28;2.25;2.11;2.11;2.1
are;traffic_deaths_women_per_100000_people;26.0;26.3;26.18;26.07;25.92;25.72;25.67;25.98;24.45;24.05;23.4;22.76;22.12;24.69;26.07;24.89;24.32;23.11;21.54;21.6;21.61;21.6;21.52;21.4;21.25;21.06;20.79
arg;traffic_deaths_women_per_100000_people;8.22;8.22;8.24;8.25;8.35;8.23;8.19;8.35;8.49;8.55;8.31;8.09;7.9;7.86;7.89;7.91;8.0;7.97;7.99;7.89;7.9;7.95;7.85;7.65;7.5;7.32;7.14
arm;traffic_deaths_women_per_100000_people;8.77;8.47;7.87;7.92;6.41;6.38;6.35;6.27;5.95;5.32;5.15;5.06;4.78;4.64;4.48;4.31;4.13;3.95;3.83;3.68;3.56;3.51;3.37;3.21;3.1;3.17;3.05
asm;traffic_deaths_women_per_100000_people;7.66;7.74;7.93;8.12;8.26;8.3;8.4;8.53;8.55;7.89;7.96;8.22;8.3;8.32;8.35;8.27;8.27;8.11;7.96;7.8;7.83;8.19;8.38;8.32;8.23;8.12;7.93
atg;traffic_deaths_women_per_100000_people;4.71;4.65;4.51;4.44;4.34;4.31;4.4;4.41;4.82;5.09;5.03;5.15;5.26;5.33;5.36;5.54;5.39;5.43;5.27;5.38;5.14;4.95;4.67;4.57;4.47;4.5;4.48
aus;traffic_deaths_women_per_100000_people;9.74;9.02;8.59;8.09;7.77;7.56;7.23;6.92;6.69;6.5;6.21;5.88;5.67;5.47;5.23;5.0;4.89;4.75;4.56;4.4;4.23;4.12;3.98;3.85;3.77;3.76;3.73
aut;traffic_deaths_women_per_100000_people;8.63;8.34;8.06;7.8;7.34;6.85;6.45;6.2;5.94;5.82;5.5;5.34;5.15;4.95;4.59;4.31;4.06;3.8;3.63;3.42;3.26;3.15;2.98;2.82;2.76;2.76;2.73
aze;traffic_deaths_women_per_100000_people;6.73;6.66;7.11;6.59;6.48;7.75;5.23;4.85;4.52;4.38;4.31;4.15;4.3;4.3;4.16;4.32;4.19;4.15;4.24;4.25;4.16;3.9;3.86;3.53;3.42;3.35;3.28
bdi;traffic_deaths_women_per_100000_people;24.22;24.25;24.31;24.42;24.84;24.95;25.4;24.95;24.47;23.85;23.11;22.47;21.68;22.01;20.63;20.2;19.21;18.73;18.23;17.9;17.69;17.71;17.68;17.54;17.37;17.35;17.33
bel;traffic_deaths_women_per_100000_people;11.07;10.74;10.37;10.07;9.76;9.41;9.08;8.95;9.03;8.86;8.73;8.29;7.74;7.06;6.46;6.19;5.97;5.78;5.55;5.39;5.19;4.98;4.8;4.63;4.44;4.46;4.44
ben;traffic_deaths_women_per_100000_people;19.33;19.42;19.46;19.16;19.35;19.67;19.86;19.55;19.19;19.12;19.04;18.69;18.36;18.64;17.41;17.06;16.9;16.59;16.61;16.83;16.55;16.5;16.63;16.43;16.24;16.2;16.04
bfa;traffic_deaths_women_per_100000_people;19.27;18.68;18.78;18.49;18.23;17.97;17.65;17.67;17.75;17.38;17.02;16.45;16.18;15.99;15.96;15.81;16.02;15.81;15.55;15.61;15.78;15.81;16.17;16.39;16.47;16.34;16.26
bgd;traffic_deaths_women_per_100000_people;5.28;5.1;4.84;4.48;4.48;4.6;4.44;4.4;4.33;4.54;4.87;5.09;5.26;5.83;5.7;5.99;5.6;5.5;5.39;5.2;5.12;4.96;4.89;4.63;4.52;4.28;4.14
bgr;traffic_deaths_women_per_100000_people;8.03;7.73;7.66;7.39;7.48;7.34;7.15;6.99;6.74;6.78;6.74;6.6;6.47;6.44;6.54;6.65;6.81;6.67;6.51;6.29;5.99;5.64;5.21;5.01;4.67;4.56;4.44
bhr;traffic_deaths_women_per_100000_people;15.56;15.81;16.05;16.01;15.87;15.91;15.16;13.41;13.28;13.08;19.65;12.64;12.33;12.19;11.95;11.39;12.52;9.95;9.39;8.92;8.66;8.33;8.53;8.2;8.04;7.99;7.92
bhs;traffic_deaths_women_per_100000_people;11.73;11.39;10.97;10.44;10.08;10.01;9.89;10.43;10.85;11.27;11.19;11.88;12.7;10.16;10.21;10.77;10.38;10.78;10.61;10.47;10.43;10.33;10.12;9.89;9.75;9.56;9.47
bih;traffic_deaths_women_per_100000_people;4.61;4.54;4.6;4.64;4.66;4.61;4.46;4.38;4.1;3.94;3.78;3.65;3.54;3.44;3.33;3.24;3.15;3.07;3.08;2.92;2.85;2.79;2.78;2.77;2.77;2.72;2.68
blr;traffic_deaths_women_per_100000_people;10.2;10.74;10.81;10.8;10.67;11.2;11.38;11.53;11.73;11.38;11.12;11.04;11.45;11.29;11.04;10.81;10.55;10.22;9.87;9.49;9.04;8.85;8.14;7.48;7.06;7.02;6.94
blz;traffic_deaths_women_per_100000_people;10.5;10.42;10.33;10.17;10.22;10.1;10.6;15.39;11.6;12.54;12.67;13.28;13.48;13.64;13.62;14.11;13.79;13.98;13.78;13.64;13.09;13.07;12.29;11.97;11.58;11.48;11.26
bmu;traffic_deaths_women_per_100000_people;6.54;6.65;6.53;6.41;5.99;5.77;5.6;5.56;5.57;5.62;5.52;5.48;5.52;5.44;5.35;5.41;5.13;5.02;4.81;4.68;4.38;4.18;3.83;3.68;3.65;3.79;3.69
bol;traffic_deaths_women_per_100000_people;25.1;24.71;24.45;24.21;23.67;23.03;22.15;21.34;20.31;19.41;18.52;17.77;17.42;16.83;16.61;15.81;15.6;15.51;15.3;15.18;15.01;14.83;14.73;14.47;14.27;14.06;13.91
bra;traffic_deaths_women_per_100000_people;15.32;14.99;14.69;14.45;14.26;14.18;14.01;13.46;12.78;12.2;11.71;11.32;11.13;10.97;10.81;10.55;10.41;10.29;10.2;10.16;10.14;9.98;9.85;9.59;9.41;9.09;8.95
brb;traffic_deaths_women_per_100000_people;4.78;4.77;4.59;4.52;4.36;4.36;4.49;4.65;4.91;5.15;5.25;5.41;5.51;5.66;5.79;6.05;5.93;6.02;5.84;5.89;5.67;5.63;5.33;5.25;5.26;5.22;5.17
brn;traffic_deaths_women_per_100000_people;19.99;20.12;19.99;19.57;19.42;18.56;17.97;16.76;15.79;14.77;13.88;12.95;12.43;11.89;11.66;11.33;11.15;10.95;10.62;10.25;9.95;9.87;9.92;9.83;9.65;9.54;9.45
btn;traffic_deaths_women_per_100000_people;13.8;13.55;13.35;13.79;13.57;13.37;13.07;12.96;12.39;11.63;11.24;10.67;10.1;9.54;9.15;8.87;8.45;8.14;7.79;7.32;7.08;6.84;6.61;6.43;6.25;6.08;5.95
bwa;traffic_deaths_women_per_100000_people;11.7;11.39;11.17;10.99;11.02;11.34;11.8;12.48;13.54;14.81;16.08;16.67;16.99;16.28;17.34;17.33;17.38;17.98;16.58;15.11;14.32;13.82;14.11;13.74;13.83;13.94;14.14
caf;traffic_deaths_women_per_100000_people;23.86;23.86;22.92;24.07;24.36;24.05;24.46;24.2;24.35;24.65;24.29;24.24;25.54;24.53;24.8;24.71;26.03;26.44;25.77;25.34;25.59;25.01;24.39;24.01;24.33;24.29;22.67
can;traffic_deaths_women_per_100000_people;9.24;8.94;8.67;8.49;8.12;7.93;7.66;7.48;7.23;7.06;6.85;6.64;6.52;6.33;6.12;6.05;5.9;5.66;5.41;5.15;5.0;4.81;4.79;4.86;4.8;4.78;4.74
che;traffic_deaths_women_per_100000_people;8.15;7.65;7.22;6.71;6.42;6.05;5.53;5.23;4.98;4.7;4.48;4.23;3.86;3.64;3.34;3.09;2.94;2.75;2.6;2.51;2.44;2.36;2.28;2.25;2.2;2.18;2.18
chl;traffic_deaths_women_per_100000_people;6.88;6.98;6.98;6.96;6.97;6.99;6.96;6.91;6.78;6.55;6.59;6.47;6.21;6.16;6.13;6.12;6.15;6.02;6.02;6.06;5.89;5.81;5.72;5.58;5.4;5.24;5.12
chn;traffic_deaths_women_per_100000_people;15.88;15.55;15.48;15.54;15.87;16.04;16.21;16.28;16.17;16.34;16.55;16.8;16.96;16.62;16.11;15.47;15.08;14.6;14.17;13.89;13.64;12.93;12.19;11.86;11.53;10.99;10.52
civ;traffic_deaths_women_per_100000_people;15.61;15.56;15.42;15.92;16.03;16.35;16.48;16.39;16.49;16.59;17.0;16.54;16.08;15.92;15.42;15.34;15.33;14.98;14.66;14.38;14.35;14.54;14.79;14.88;14.81;14.7;14.71
cmr;traffic_deaths_women_per_100000_people;16.14;16.15;16.18;15.66;15.71;16.89;15.5;15.74;16.17;15.62;15.58;15.16;14.98;14.6;14.31;14.26;14.22;14.04;13.56;13.4;13.53;13.41;13.28;13.15;13.25;13.04;13.06
cod;traffic_deaths_women_per_100000_people;17.43;17.47;17.24;16.71;16.44;16.56;17.61;15.93;16.08;15.54;15.4;15.64;15.12;15.52;14.89;14.36;14.31;14.32;14.16;13.8;13.36;13.39;13.37;13.09;13.12;12.94;12.62
cog;traffic_deaths_women_per_100000_people;25.18;25.63;22.58;29.13;24.56;25.13;26.24;26.67;25.24;25.32;24.56;23.32;21.58;21.81;22.24;22.54;22.25;22.21;22.02;21.26;21.37;20.05;19.89;19.12;18.77;18.44;18.1
col;traffic_deaths_women_per_100000_people;11.75;11.84;11.87;11.92;12.01;12.1;11.73;11.47;11.29;10.75;10.37;9.94;9.56;9.2;8.89;8.55;8.29;8.01;7.82;7.66;7.45;7.13;6.92;6.74;6.58;6.39;6.21
com;traffic_deaths_women_per_100000_people;19.93;19.79;19.63;19.45;19.34;19.27;37.6;18.93;19.61;15.5;15.13;14.68;15.42;13.85;17.68;19.02;19.89;21.64;16.62;27.75;16.06;23.23;17.95;17.55;15.36;15.1;14.83
cpv;traffic_deaths_women_per_100000_people;5.87;5.86;5.88;5.98;6.18;6.52;6.67;6.89;6.78;8.56;6.33;6.65;6.44;6.22;6.02;5.82;5.74;10.52;5.52;5.48;5.52;5.45;5.45;5.43;5.42;6.5;5.37
cri;traffic_deaths_women_per_100000_people;8.14;7.99;8.03;7.98;8.19;8.18;8.02;8.65;8.88;8.79;8.63;8.26;8.04;7.79;7.61;7.43;7.37;7.23;6.98;6.85;6.68;6.67;6.67;6.53;6.37;6.23;6.1
cub;traffic_deaths_women_per_100000_people;9.82;9.7;9.44;9.3;9.23;9.23;8.82;8.83;8.03;7.37;7.14;6.72;6.32;6.0;5.73;5.44;5.15;4.88;4.78;4.59;4.62;4.39;4.36;4.29;4.21;4.18;4.12
cyp;traffic_deaths_women_per_100000_people;14.28;14.19;14.18;13.71;14.37;14.32;13.68;13.88;13.83;13.66;13.45;12.56;12.18;11.79;11.24;12.24;9.87;8.96;8.52;7.81;7.31;6.84;6.32;6.0;6.3;6.37;6.4
cze;traffic_deaths_women_per_100000_people;8.15;8.28;8.34;8.38;8.47;8.4;8.07;7.86;7.63;7.55;7.46;7.32;7.21;6.86;6.61;6.32;5.99;5.84;5.61;5.35;5.09;4.9;4.65;4.42;4.3;4.14;4.07
deu;traffic_deaths_women_per_100000_people;7.85;7.64;7.35;7.06;6.81;6.58;6.31;6.09;5.99;5.71;5.45;5.14;4.86;4.56;4.26;3.99;3.75;3.58;3.4;3.24;3.1;2.98;2.85;2.77;2.66;2.67;2.65
dji;traffic_deaths_women_per_100000_people;12.94;13.03;13.08;13.1;13.2;13.27;13.29;13.24;13.14;12.86;12.53;12.22;12.0;11.97;11.93;11.78;18.41;11.69;11.63;11.54;11.37;11.21;11.08;10.96;10.81;10.66;10.5
dma;traffic_deaths_women_per_100000_people;7.28;7.42;7.35;7.39;7.24;7.19;7.37;7.51;7.68;8.03;7.84;8.02;8.2;8.35;8.36;8.68;8.56;8.66;8.59;8.73;8.53;8.84;8.53;8.52;8.35;8.42;8.32
dnk;traffic_deaths_women_per_100000_people;8.14;7.81;7.54;7.25;7.01;6.88;6.41;5.96;5.81;5.64;5.59;5.25;5.14;4.88;4.51;4.22;4.08;3.97;3.77;3.59;3.36;3.04;2.78;2.72;2.58;2.61;2.6
dom;traffic_deaths_women_per_100000_people;9.85;9.8;10.44;10.79;11.6;11.49;12.88;11.6;11.51;11.16;10.49;9.99;9.62;9.51;9.56;9.13;9.17;9.0;8.92;8.77;8.64;8.61;8.71;8.43;8.32;8.19;8.1
dza;traffic_deaths_women_per_100000_people;18.96;18.29;17.68;17.18;16.67;16.2;15.89;15.98;15.74;15.61;15.27;15.04;14.92;14.73;14.37;14.06;13.81;13.61;13.4;13.22;13.06;12.86;12.7;12.63;12.64;12.21;11.91
ecu;traffic_deaths_women_per_100000_people;14.41;14.18;14.12;14.22;13.95;13.81;13.77;13.82;14.07;13.25;13.36;13.37;13.47;13.51;12.83;12.97;13.0;12.99;13.02;13.11;13.03;12.8;12.7;12.41;12.17;11.76;11.41
egy;traffic_deaths_women_per_100000_people;22.56;22.05;20.75;20.36;19.68;18.59;18.09;17.63;16.93;16.53;15.75;15.97;15.96;15.52;15.26;14.96;15.32;14.43;14.48;14.7;14.74;14.07;14.21;13.44;13.33;13.0;12.69
eri;traffic_deaths_women_per_100000_people;21.84;21.51;20.74;20.19;20.18;20.02;20.92;19.66;19.43;19.05;18.74;18.51;18.33;18.05;17.41;17.16;16.88;16.61;16.57;16.41;16.37;16.2;16.13;16.01;15.87;15.74;15.58
esp;traffic_deaths_women_per_100000_people;8.93;8.64;8.22;7.73;7.29;7.04;6.87;6.82;6.82;6.67;6.57;6.23;5.99;5.66;5.2;4.7;4.35;3.97;3.68;3.24;2.95;2.76;2.6;2.54;2.38;2.41;2.41
est;traffic_deaths_women_per_100000_people;12.31;12.89;12.66;13.6;22.27;13.37;11.22;10.52;10.24;9.34;8.98;8.52;7.72;7.22;6.71;6.67;6.41;6.03;5.4;4.77;4.29;4.09;3.88;3.73;3.65;3.58;3.54
eth;traffic_deaths_women_per_100000_people;25.01;24.66;24.34;24.22;24.39;24.34;23.77;23.36;22.82;22.43;22.01;21.26;20.35;19.46;18.9;18.53;17.99;17.54;16.87;16.45;16.27;16.09;15.84;15.55;15.38;15.25;15.05
fin;traffic_deaths_women_per_100000_people;8.32;8.0;7.61;6.91;6.42;5.93;5.74;5.68;5.63;5.46;5.26;5.06;4.77;4.64;4.49;4.24;3.97;3.82;3.52;3.3;3.13;3.0;2.89;2.73;2.62;2.54;2.5
fji;traffic_deaths_women_per_100000_people;8.95;9.12;9.21;9.32;9.4;9.47;9.63;9.78;9.67;10.8;9.84;9.62;9.45;9.63;9.6;9.59;9.57;9.36;9.16;8.98;8.94;8.84;8.95;8.95;9.04;9.12;9.14
fra;traffic_deaths_women_per_100000_people;10.0;9.67;9.34;9.02;8.71;8.41;8.17;7.95;7.84;7.51;7.4;6.78;6.22;5.65;5.19;4.85;4.51;4.24;4.02;3.86;3.67;3.53;3.4;3.26;3.24;3.21;3.17
fsm;traffic_deaths_women_per_100000_people;13.73;13.76;13.74;13.74;13.78;13.8;13.83;13.84;13.86;13.99;14.05;14.11;14.28;14.29;14.34;14.82;14.9;14.62;14.4;14.61;14.75;14.44;14.35;14.27;14.76;14.76;14.28
gab;traffic_deaths_women_per_100000_people;19.1;22.28;18.48;19.38;18.93;19.23;20.08;20.39;20.73;21.17;21.66;22.72;22.64;22.84;23.57;22.41;22.59;22.01;21.92;20.71;19.12;18.76;17.9;17.67;16.56;16.24;15.83
gbr;traffic_deaths_women_per_100000_people;4.91;4.7;4.47;4.29;4.13;4.05;3.94;3.83;3.72;3.6;3.5;3.4;3.32;3.25;3.12;2.99;2.88;2.75;2.61;2.44;2.29;2.15;2.06;2.0;1.95;1.92;1.93
geo;traffic_deaths_women_per_100000_people;8.74;8.7;9.36;7.41;6.48;5.77;5.07;4.59;4.15;4.15;4.02;4.15;4.33;4.48;4.64;4.36;4.22;4.25;4.47;4.64;4.78;4.9;4.93;5.3;5.98;5.48;5.27
gha;traffic_deaths_women_per_100000_people;14.25;14.14;14.4;13.96;14.09;14.45;14.71;14.96;14.7;14.7;14.54;14.78;14.91;14.54;14.3;14.23;14.43;14.06;13.84;13.9;13.93;13.79;13.64;13.46;13.37;13.17;12.93
gin;traffic_deaths_women_per_100000_people;17.96;18.08;20.55;18.04;18.23;18.56;17.59;17.05;16.84;16.45;15.79;16.03;15.66;15.24;15.02;14.61;14.65;14.65;14.18;13.97;13.85;13.7;13.7;13.59;13.67;13.45;13.38
gmb;traffic_deaths_women_per_100000_people;13.31;13.34;13.33;13.27;13.08;13.03;13.31;13.29;13.27;13.18;12.75;12.61;12.78;12.03;11.53;11.17;11.11;12.16;10.83;11.13;10.81;10.51;10.61;10.59;10.53;10.45;10.35
gnb;traffic_deaths_women_per_100000_people;20.46;20.46;20.48;20.41;20.31;20.35;20.13;19.93;27.0;19.31;19.03;18.33;17.99;17.48;17.23;16.43;16.28;16.45;16.13;18.02;15.67;15.14;15.62;14.71;14.47;14.42;14.27
gnq;traffic_deaths_women_per_100000_people;25.08;25.2;24.89;25.13;25.28;25.12;25.68;24.35;23.62;23.14;22.39;21.14;19.76;19.18;16.9;22.29;17.54;17.05;17.88;16.76;15.62;14.04;13.12;12.08;11.89;11.44;11.22
grc;traffic_deaths_women_per_100000_people;9.93;9.92;9.6;9.34;9.32;9.27;9.22;9.15;8.76;8.38;8.16;7.41;7.05;6.58;6.48;6.46;5.79;5.61;5.34;5.15;5.01;4.83;4.61;4.51;4.68;4.64;4.34
grd;traffic_deaths_women_per_100000_people;5.89;5.77;5.52;5.33;5.18;5.21;5.33;5.53;5.84;6.22;6.67;6.92;7.27;7.48;7.65;7.97;7.8;7.94;7.96;7.97;7.82;7.83;7.52;7.43;7.4;7.97;7.6
grl;traffic_deaths_women_per_100000_people;15.69;15.08;14.5;13.77;13.54;13.72;13.77;14.23;13.69;14.24;14.63;14.87;14.51;14.32;14.15;13.8;12.71;11.41;10.81;10.18;9.39;8.81;7.94;7.16;7.13;7.4;7.68
gtm;traffic_deaths_women_per_100000_people;8.94;9.2;9.18;9.1;8.8;8.51;8.15;7.83;7.7;7.37;7.04;6.73;6.72;6.62;6.68;6.83;6.81;6.81;6.78;6.86;7.2;7.26;7.16;7.08;6.91;6.71;6.56
gum;traffic_deaths_women_per_100000_people;11.79;12.13;12.29;12.29;12.25;11.72;11.18;65.38;10.71;9.88;9.84;9.82;9.75;9.88;10.01;10.25;10.44;10.42;10.44;10.71;11.03;11.09;11.1;10.98;10.86;10.69;10.47
guy;traffic_deaths_women_per_100000_people;8.94;8.94;8.61;8.4;8.28;8.42;8.64;9.24;9.59;10.45;10.46;10.36;10.62;11.1;11.57;12.2;12.21;12.69;12.39;12.57;12.26;12.26;11.52;11.31;10.97;10.62;9.99
hnd;traffic_deaths_women_per_100000_people;17.6;17.31;17.16;16.74;16.4;16.38;16.13;15.8;15.48;15.21;14.87;14.63;14.39;14.24;14.07;13.84;13.63;13.39;13.22;13.08;12.92;12.91;12.72;12.6;12.38;12.2;12.02
hrv;traffic_deaths_women_per_100000_people;9.9;9.6;9.18;8.64;8.64;8.86;8.51;8.23;7.8;7.6;7.29;7.13;6.93;6.78;6.44;6.27;6.12;5.88;5.69;5.42;5.05;4.85;4.56;4.47;4.24;4.22;4.16
hti;traffic_deaths_women_per_100000_people;27.38;27.1;27.15;37.25;26.22;25.58;25.24;26.63;23.52;23.16;22.5;22.1;21.58;21.57;21.27;21.19;21.16;21.03;20.8;20.58;20.16;19.93;19.54;18.95;18.47;18.05;17.79
hun;traffic_deaths_women_per_100000_people;10.29;10.18;9.9;9.23;8.96;8.28;7.91;7.56;7.19;6.96;6.81;6.66;6.52;6.24;6.08;5.92;5.73;5.48;5.15;4.82;4.5;4.28;4.1;3.95;3.82;3.74;3.72
idn;traffic_deaths_women_per_100000_people;24.29;23.99;23.76;23.84;23.61;23.49;23.44;23.3;23.39;23.34;22.96;22.69;22.14;21.49;20.74;20.05;19.11;18.08;16.84;15.56;14.34;13.26;12.75;12.17;11.55;11.55;11.42
ind;traffic_deaths_women_per_100000_people;10.82;10.99;11.21;11.28;11.37;11.47;11.54;11.63;11.59;11.52;11.45;11.34;11.2;11.02;10.9;10.77;10.81;10.87;10.94;10.92;10.99;11.09;11.1;11.06;11.05;10.92;10.63
irl;traffic_deaths_women_per_100000_people;7.47;7.23;7.0;6.73;6.54;6.48;6.36;6.32;6.11;6.01;5.6;5.15;4.75;4.37;4.12;3.96;3.78;3.53;3.37;3.18;3.01;2.93;2.79;2.69;2.66;2.63;2.6
irn;traffic_deaths_women_per_100000_people;28.8;28.7;28.2;28.04;27.9;27.7;27.66;27.8;27.65;27.64;27.62;27.46;27.45;27.6;27.53;26.67;25.75;25.09;23.85;22.63;21.43;20.25;19.75;18.98;18.01;16.72;16.13
irq;traffic_deaths_women_per_100000_people;18.1;18.34;18.46;18.49;18.22;18.2;18.66;18.78;18.7;18.25;18.2;18.04;18.16;18.28;18.19;18.0;17.61;17.64;17.33;17.31;17.01;16.83;16.81;16.47;16.23;16.0;15.71
isl;traffic_deaths_women_per_100000_people;6.93;6.7;6.5;6.31;6.17;6.15;6.03;5.94;5.83;5.62;5.45;5.19;4.9;4.68;4.35;4.06;3.83;3.58;3.39;3.23;3.1;2.99;2.91;2.83;2.83;2.84;2.97
isr;traffic_deaths_women_per_100000_people;8.12;7.65;7.62;7.76;7.72;7.75;7.62;7.38;7.45;7.51;7.18;6.94;6.92;6.71;6.52;6.21;5.75;5.44;5.16;4.97;4.76;4.55;4.35;4.21;4.12;4.15;4.15
