geo;indicator;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
afg;traffic_mortality_45_59_per_100000_people;223.73;223.87;225.51;232.94;235.5;239.26;242.49;243.1;245.32;245.08;245.51;248.82;247.34;246.66;245.89;249.13;245.67;242.93;241.72;239.48;237.23;234.5;232.52;231.73;230.6;229.95;229.67
ago;traffic_mortality_45_59_per_100000_people;104.61;104.54;100.15;101.19;117.13;119.95;100.51;97.19;101.02;99.09;101.62;98.86;96.38;96.59;96.7;96.41;96.3;95.73;96.62;93.54;91.89;91.48;90.0;89.83;89.48;87.04;85.79
alb;traffic_mortality_45_59_per_100000_people;46.62;45.81;45.04;43.13;40.7;37.53;35.27;33.97;34.16;33.77;33.89;36.11;36.86;36.91;35.72;32.96;32.13;33.23;34.93;29.99;30.11;29.8;29.49;29.24;28.98;28.68;28.27
and;traffic_mortality_45_59_per_100000_people;22.49;22.2;22.07;21.73;21.62;21.05;20.47;20.61;19.88;19.05;18.27;17.47;16.63;16.02;15.91;15.34;14.91;14.55;14.21;14.06;13.88;13.91;13.87;13.75;13.18;13.21;13.18
are;traffic_mortality_45_59_per_100000_people;186.4;187.79;186.96;186.0;184.75;183.12;181.22;193.65;176.38;174.92;172.64;170.01;167.19;175.8;184.86;179.19;178.28;178.39;204.59;207.66;210.66;213.32;215.26;216.47;217.27;217.93;218.34
arg;traffic_mortality_45_59_per_100000_people;59.18;58.87;59.04;58.83;59.0;59.08;59.53;60.96;62.18;63.15;60.91;60.37;59.77;60.22;60.21;59.71;60.28;60.28;60.19;59.64;59.27;59.27;58.15;55.79;53.83;52.96;52.44
arm;traffic_mortality_45_59_per_100000_people;67.32;66.84;67.08;74.39;60.55;58.29;57.65;55.49;54.01;50.25;47.37;44.65;44.78;43.01;41.48;40.98;40.01;38.45;38.29;36.73;35.17;34.25;33.34;31.45;30.28;31.22;29.9
asm;traffic_mortality_45_59_per_100000_people;46.62;46.68;46.33;45.12;44.68;44.32;43.99;44.01;42.16;39.05;38.22;38.16;38.36;39.36;40.43;40.08;38.97;37.77;36.37;35.29;34.69;35.09;34.85;34.96;34.97;34.99;34.64
atg;traffic_mortality_45_59_per_100000_people;35.12;35.74;35.64;35.5;34.89;34.63;35.54;35.32;37.03;37.4;37.93;37.8;37.49;37.85;38.23;39.75;38.85;37.78;36.55;36.66;35.0;33.48;33.15;31.98;32.04;32.28;32.25
aus;traffic_mortality_45_59_per_100000_people;41.56;38.2;36.06;34.21;32.76;31.29;30.72;28.58;28.14;27.2;27.06;26.89;26.17;25.37;24.7;24.13;24.15;24.04;23.7;23.36;22.92;22.29;21.5;21.2;20.89;20.79;20.67
aut;traffic_mortality_45_59_per_100000_people;50.45;47.86;45.8;43.27;41.19;39.33;37.12;35.85;33.82;32.94;31.82;31.55;31.2;30.25;28.8;27.57;26.36;25.33;24.39;23.55;22.53;21.36;20.52;19.8;18.99;18.87;18.71
aze;traffic_mortality_45_59_per_100000_people;67.09;67.0;75.43;67.38;66.81;78.15;47.32;42.83;38.02;36.27;35.65;33.82;35.37;34.39;33.97;35.66;34.2;33.26;34.51;33.62;33.36;31.69;31.23;30.14;29.55;29.16;28.75
bdi;traffic_mortality_45_59_per_100000_people;178.86;179.74;180.3;181.34;183.38;185.55;183.8;177.61;172.29;161.96;156.62;145.87;139.14;146.15;133.63;132.15;128.45;125.93;123.85;123.98;123.43;123.66;124.39;123.23;123.81;124.28;123.36
