geo;indicator;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
afg;traffic_mortality_80plus_per_100000_people;185.48;181.99;180.92;185.54;182.66;183.19;183.57;182.0;182.37;179.72;178.49;179.73;179.2;180.24;180.6;185.68;183.84;183.85;184.69;186.46;187.96;188.08;189.12;190.1;190.47;190.65;191.65
ago;traffic_mortality_80plus_per_100000_people;275.3;276.87;272.7;273.56;292.8;297.4;277.39;276.82;278.4;276.22;277.72;271.9;272.19;274.51;276.24;280.04;283.92;289.42;296.32;294.01;296.08;298.87;297.08;298.86;300.88;295.49;295.56
alb;traffic_mortality_80plus_per_100000_people;200.89;191.83;184.53;173.71;167.32;155.41;146.96;140.73;138.67;134.41;131.68;141.22;142.94;141.06;134.92;121.16;117.73;125.74;127.85;113.49;111.94;108.6;107.15;106.81;106.84;106.94;107.03
and;traffic_mortality_80plus_per_100000_people;101.54;100.56;99.38;98.35;97.23;94.64;92.06;95.75;93.72;91.68;89.52;87.82;85.63;84.32;85.09;84.23;83.42;82.86;82.55;82.6;82.13;82.47;82.41;81.59;76.92;77.09;76.75
are;traffic_mortality_80plus_per_100000_people;1927.85;1968.84;1994.27;1994.41;2016.53;2048.09;2060.99;2081.65;2063.08;1999.03;1947.52;1939.22;1889.57;2052.76;2131.57;2104.16;2082.37;1938.26;2136.2;2107.14;2064.02;2048.56;2042.88;2089.43;2120.07;2149.32;2167.13
arg;traffic_mortality_80plus_per_100000_people;279.23;277.67;276.59;276.48;272.5;270.27;274.45;287.97;299.16;300.38;306.68;302.6;310.81;312.37;317.48;315.83;316.49;311.84;308.88;301.36;296.93;296.81;293.61;288.63;285.52;279.78;276.82
arm;traffic_mortality_80plus_per_100000_people;137.48;132.17;123.62;122.38;103.2;100.81;103.04;100.06;95.0;93.14;90.99;88.12;85.45;83.17;80.03;77.21;73.76;70.56;69.35;67.17;65.85;65.8;66.0;65.06;64.95;67.52;66.79
asm;traffic_mortality_80plus_per_100000_people;437.87;438.23;440.22;442.4;445.74;446.26;447.45;452.17;444.54;415.87;423.85;434.04;437.79;442.27;449.43;449.45;448.32;441.38;435.62;427.38;428.6;438.3;444.16;442.51;439.97;437.4;432.53
atg;traffic_mortality_80plus_per_100000_people;270.24;268.45;259.73;252.73;240.09;235.18;239.0;238.12;260.89;279.62;288.89;301.27;315.78;322.73;330.26;343.44;340.19;340.14;333.55;340.62;327.61;319.54;311.1;304.6;301.32;303.36;304.09
aus;traffic_mortality_80plus_per_100000_people;180.73;170.96;166.38;161.17;162.87;161.42;159.37;153.46;153.19;152.18;149.6;144.86;141.98;138.31;133.63;130.66;128.22;125.44;125.57;122.75;121.54;122.49;121.42;118.35;117.38;116.68;116.5
aut;traffic_mortality_80plus_per_100000_people;168.22;160.6;151.71;143.12;135.35;127.55;120.78;119.55;116.41;113.12;106.28;104.54;103.51;101.25;98.08;95.09;93.31;91.13;89.99;87.69;85.51;83.32;83.88;81.99;79.62;79.51;79.03
aze;traffic_mortality_80plus_per_100000_people;136.41;129.85;130.4;117.54;112.46;125.69;91.82;84.99;78.98;77.48;76.09;73.25;75.04;74.95;74.83;77.21;77.04;78.51;84.21;89.1;93.88;87.38;85.53;82.38;81.5;81.8;81.25
bdi;traffic_mortality_80plus_per_100000_people;532.07;538.27;543.03;545.98;552.29;553.39;551.8;546.02;541.73;528.77;516.98;509.08;499.99;511.04;501.21;501.16;497.16;500.09;503.57;510.42;516.44;524.45;534.86;535.66;544.07;551.82;554.4
bel;traffic_mortality_80plus_per_100000_people;375.92;371.97;374.59;380.15;367.05;348.82;350.13;342.6;347.97;349.95;350.09;344.98;337.6;324.48;302.31;304.77;299.55;295.13;294.77;293.52;285.79;285.59;287.12;281.36;273.42;274.86;272.71
ben;traffic_mortality_80plus_per_100000_people;491.71;498.11;497.36;496.5;500.33;502.02;504.98;501.88;502.4;503.21;502.53;498.12;492.73;502.28;482.81;480.62;479.94;476.37;477.6;470.56;463.8;466.41;469.66;467.41;466.61;468.19;470.14
bfa;traffic_mortality_80plus_per_100000_people;429.57;417.66;419.43;420.18;418.52;416.92;416.01;418.9;423.37;420.99;420.85;412.36;407.34;406.87;406.88;405.32;408.5;407.78;405.79;406.66;409.68;413.5;416.74;421.21;423.17;422.11;424.04
bgd;traffic_mortality_80plus_per_100000_people;216.85;216.5;217.51;213.61;224.73;231.14;238.71;246.2;249.36;263.71;293.19;310.19;328.13;355.52;363.54;380.25;374.05;375.64;366.78;360.17;362.8;365.41;377.06;378.98;387.02;385.81;375.54
bgr;traffic_mortality_80plus_per_100000_people;154.74;148.71;145.93;142.33;139.88;138.32;133.18;134.31;133.48;131.2;129.39;126.94;126.44;127.69;130.21;133.39;137.36;139.38;137.33;133.93;128.2;121.52;117.99;118.37;106.96;104.75;102.79
bhr;traffic_mortality_80plus_per_100000_people;639.82;680.36;709.68;712.85;722.41;729.12;724.79;625.14;629.33;628.17;759.03;636.04;637.05;636.85;637.36;629.03;650.91;591.17;554.17;519.62;489.6;468.62;473.36;463.64;457.76;459.45;456.29
bhs;traffic_mortality_80plus_per_100000_people;549.42;544.25;537.86;522.0;505.24;498.67;520.14;537.76;568.65;617.21;648.71;700.41;750.16;573.59;587.88;628.16;627.85;644.77;640.94;648.64;640.18;652.05;632.1;628.73;611.92;599.01;591.59
bih;traffic_mortality_80plus_per_100000_people;266.52;256.07;253.5;246.0;237.57;227.63;214.79;202.25;187.73;184.25;177.77;167.36;154.82;144.58;137.38;131.58;127.22;123.47;121.22;119.17;116.98;113.08;115.75;116.01;113.85;117.22;122.28
blr;traffic_mortality_80plus_per_100000_people;104.28;107.42;106.64;105.71;102.92;107.0;107.17;107.72;107.56;106.62;105.94;108.29;116.2;117.2;114.42;113.42;112.97;112.44;113.26;109.09;106.72;106.08;101.15;96.33;93.34;92.22;91.11
blz;traffic_mortality_80plus_per_100000_people;569.93;566.57;569.2;569.79;589.85;583.6;612.59;724.46;696.7;748.04;756.18;795.54;809.32;818.13;832.06;862.95;849.98;857.21;844.05;843.86;816.89;830.28;801.88;804.35;797.61;787.64;774.05
bmu;traffic_mortality_80plus_per_100000_people;582.48;597.4;601.44;616.17;603.34;605.19;653.02;664.67;696.77;732.63;745.06;748.96;764.12;761.79;745.88;748.53;720.47;702.91;678.78;671.61;642.99;625.11;599.64;583.01;590.15;604.11;586.95
bol;traffic_mortality_80plus_per_100000_people;501.38;501.46;502.2;504.41;503.87;505.03;503.01;503.91;501.78;498.27;491.91;485.43;482.78;477.41;474.74;444.82;444.81;445.86;447.32;449.74;451.23;452.68;454.54;452.97;451.19;449.85;449.22
bra;traffic_mortality_80plus_per_100000_people;418.6;410.9;401.74;404.81;408.02;419.28;460.08;452.53;440.02;437.66;425.58;415.81;404.62;396.12;382.28;363.64;345.23;331.77;321.13;306.38;295.16;282.19;268.8;260.82;256.32;252.49;254.95
brb;traffic_mortality_80plus_per_100000_people;324.29;325.31;318.82;317.42;312.89;310.13;319.95;331.51;348.09;364.13;374.51;385.38;391.13;398.49;410.54;431.96;429.16;433.51;425.12;426.58;414.41;416.86;397.79;391.81;392.39;390.67;388.88
brn;traffic_mortality_80plus_per_100000_people;337.31;337.53;335.81;331.87;335.21;330.6;326.74;314.82;306.32;290.01;276.72;269.64;265.6;258.61;251.88;246.21;242.17;238.29;235.0;233.21;229.62;230.58;231.16;227.68;226.57;224.2;221.85
btn;traffic_mortality_80plus_per_100000_people;130.95;132.47;133.96;139.93;141.24;143.16;141.39;143.17;142.61;138.19;138.46;136.72;135.56;134.91;133.74;133.41;131.95;131.07;129.7;132.56;132.31;131.95;132.39;132.71;132.57;131.98;131.97
