geo;indicator;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
afg;traffic_mortality_children_0_14_per_100000_people;42.840790000000005;41.95317;41.42557;42.015879999999996;42.03938;42.55572;41.360240000000005;40.474779999999996;38.872859999999996;36.65573;35.17153;34.56643;33.51501;45.947790000000005;49.86587;48.48917;44.935340000000004;41.78665;37.389379999999996;33.472359999999995;21.5748;16.82314;16.227829999999997;27.2841;29.664009999999998;29.63222;29.65648
ago;traffic_mortality_children_0_14_per_100000_people;67.42755;66.33774;63.946369999999995;62.07676;61.72785;59.44004;54.4351;54.672909999999995;58.3578;58.61852;58.88005;57.748369999999994;58.28564;58.284369999999996;65.02462;64.05561999999999;63.55294;64.69429000000001;64.14586;60.61413;58.92654;53.32741;47.919779999999996;41.96914;37.35795;33.57656;29.286379999999998
alb;traffic_mortality_children_0_14_per_100000_people;12.59295;15.000929999999999;14.722760000000001;13.813410000000001;12.7426;11.20935;9.883939999999999;9.00356;8.57131;8.18554;8.01393;8.49665;8.53433;8.304689999999999;7.865410000000001;7.1461;6.854610000000001;6.96357;7.012689999999999;6.084969999999999;5.71831;5.39679;5.1637900000000005;4.9881400000000005;4.8207699999999996;4.676069999999999;4.5159400000000005
and;traffic_mortality_children_0_14_per_100000_people;9.204139999999999;9.10858;8.94125;7.9208300000000005;6.87028;6.38229;5.77952;5.49458;5.1731;4.847980000000001;4.531540000000001;4.26547;3.93784;4.11453;4.2634099999999995;4.34499;4.26923;4.18856;4.103680000000001;4.01772;3.96029;4.0265;4.08328;3.98003;3.8114;3.8272699999999995;3.7846300000000004
are;traffic_mortality_children_0_14_per_100000_people;26.733970000000003;25.34544;24.04117;23.0907;21.88709;20.7071;19.16987;18.55454;16.298029999999997;15.82211;14.885639999999999;13.885270000000002;12.91417;12.893989999999999;12.50763;10.52823;9.011569999999999;9.717139999999999;10.634739999999999;11.051039999999999;11.28453;11.173910000000001;10.99441;10.666319999999999;10.41723;10.03045;9.52633
arg;traffic_mortality_children_0_14_per_100000_people;14.931629999999998;14.87584;14.90453;14.76535;14.67065;13.951979999999999;13.406310000000001;12.83597;12.144210000000001;11.70182;10.97863;10.36081;9.65498;9.3138;9.1961;9.20074;9.26497;8.87942;8.65161;8.4062;8.19235;8.04233;7.80333;7.47594;7.34532;7.140110000000001;6.93898
arm;traffic_mortality_children_0_14_per_100000_people;13.676910000000001;13.229420000000001;12.22847;11.97442;9.788089999999999;9.41221;8.96959;8.095289999999999;7.58961;7.02014;6.77694;6.5869800000000005;6.423430000000001;6.14314;5.94296;5.66119;5.32525;4.95293;4.73537;4.5704199999999995;4.47436;4.4353;4.35973;4.16964;4.0446599999999995;4.03841;3.77711
asm;traffic_mortality_children_0_14_per_100000_people;6.36585;6.28688;6.16507;6.37176;6.29819;5.9556;5.9703599999999994;6.01764;5.92716;5.64302;5.6609;5.595269999999999;5.60013;5.60425;5.60348;5.44409;5.24989;4.99177;4.7415400000000005;4.47558;4.288869999999999;4.10745;3.94889;3.85773;3.7486900000000003;3.5395199999999996;3.35342
atg;traffic_mortality_children_0_14_per_100000_people;5.0801300000000005;4.8491599999999995;4.64353;4.64089;4.61721;4.65934;4.7956199999999995;4.90385;5.408180000000001;5.84371;5.89058;6.21419;6.28471;6.296880000000001;6.62966;6.75402;6.64775;6.828639999999999;6.580439999999999;6.64435;6.32722;6.13534;6.084280000000001;5.98996;5.88587;5.814690000000001;5.67307
aus;traffic_mortality_children_0_14_per_100000_people;12.752460000000001;11.25559;10.59555;9.83975;9.37016;9.01805;8.7053;8.05503;7.618060000000001;7.44269;7.167660000000001;6.783510000000001;6.47436;6.269340000000001;5.96014;5.68283;5.49934;5.14412;4.945530000000001;4.8333900000000005;4.63985;4.3514800000000005;4.0807;3.9792099999999997;3.77861;3.71449;3.62895
aut;traffic_mortality_children_0_14_per_100000_people;9.693010000000001;9.128630000000001;8.76258;8.5504;7.9585300000000005;7.03937;6.47499;5.93921;5.45991;5.13839;4.91865;4.50575;4.17076;4.13515;3.9582599999999997;3.7366099999999998;3.3412699999999997;3.02422;2.83485;2.8449;2.58241;2.43475;2.4016900000000003;2.29566;2.2095700000000003;2.13048;2.0444
aze;traffic_mortality_children_0_14_per_100000_people;14.28144;13.840879999999999;13.83876;12.82854;12.35745;14.2219;10.63773;10.18847;9.86236;9.65363;9.63058;9.3858;9.26538;8.86331;8.18101;7.92661;7.685789999999999;7.739739999999999;7.87895;7.7397800000000005;7.22439;6.50111;5.90072;5.5171;5.230519999999999;4.99212;4.7851099999999995
bdi;traffic_mortality_children_0_14_per_100000_people;24.40916;24.13573;23.674120000000002;23.08163;22.75455;22.02294;21.76155;21.2743;20.73773;20.25444;20.030379999999997;19.70081;20.33669;21.480439999999998;19.80902;19.907410000000002;18.89109;18.19002;17.46775;16.873739999999998;16.4865;16.834329999999998;17.27179;17.667479999999998;17.70349;17.510279999999998;16.99172
bel;traffic_mortality_children_0_14_per_100000_people;11.98387;11.36083;10.79221;9.87927;9.36858;8.9048;8.37691;8.02208;8.20021;7.702489999999999;7.26699;7.02675;6.27353;5.65691;5.08536;5.0727;4.77388;4.55659;4.25502;4.04292;3.97338;3.84905;3.6918;3.40826;3.1718599999999997;3.18886;3.15014
ben;traffic_mortality_children_0_14_per_100000_people;46.05811;45.824459999999995;44.98303;43.83635;42.84163;41.5236;39.97463;38.28417;36.36384;34.60155;32.91788;30.44535;29.35701;28.03295;24.592470000000002;22.6343;21.18126;19.83948;18.97616;18.55946;17.45747;16.77437;16.5772;15.68174;14.95563;14.661;13.92595
bfa;traffic_mortality_children_0_14_per_100000_people;37.74723;35.94805;35.007690000000004;33.76915;32.69185;31.364290000000004;30.24087;29.24966;28.17197;27.50538;27.491840000000003;26.254959999999997;25.325670000000002;24.23309;23.3546;22.64659;22.16666;21.31415;20.59004;20.24107;20.09616;19.85575;20.69484;21.366770000000002;21.20955;20.4304;19.68646
bgd;traffic_mortality_children_0_14_per_100000_people;7.178489999999999;6.9557199999999995;6.53763;6.015680000000001;6.10565;6.0157;5.8830599999999995;5.8719;5.88842;6.36907;7.13877;7.60987;8.16228;9.22831;9.47158;10.443;10.299389999999999;10.51907;10.29004;10.09854;9.73678;9.39425;9.1804;8.82231;8.68702;8.24881;7.46483
bgr;traffic_mortality_children_0_14_per_100000_people;12.22354;12.36183;11.61665;10.73798;10.712480000000001;9.62968;9.86783;10.21177;9.0233;8.80831;8.48193;8.5468;8.19388;8.032789999999999;8.199110000000001;7.74644;7.767930000000001;7.366110000000001;7.372889999999999;7.17342;6.5763300000000005;5.6842;5.2005300000000005;4.92897;4.52043;4.43251;4.360930000000001
bhr;traffic_mortality_children_0_14_per_100000_people;19.9189;19.692510000000002;20.40085;20.4831;20.01184;19.426920000000003;16.07465;13.205689999999999;13.00879;13.03502;23.24595;13.88215;12.98353;12.72922;13.1444;13.09211;15.308270000000002;11.94858;10.887360000000001;9.72189;8.56831;7.84238;7.969760000000001;7.71628;7.39042;7.12505;6.799810000000001
bhs;traffic_mortality_children_0_14_per_100000_people;13.935839999999999;12.54048;11.06793;10.220139999999999;10.95359;10.29537;9.96941;10.44285;10.38305;10.46232;10.26254;10.678930000000001;11.84498;8.8331;9.16416;10.04449;9.764439999999999;9.99457;10.03912;10.07996;9.29452;8.94224;8.82526;8.519739999999999;8.4428;8.29122;8.14364
bih;traffic_mortality_children_0_14_per_100000_people;4.03408;3.8430400000000002;3.87209;3.9178599999999997;3.97433;3.96135;3.9065199999999995;3.84677;3.5572;3.47836;3.26761;3.09214;3.09643;3.06029;2.99772;2.95898;2.93053;2.82294;2.84611;2.5987299999999998;2.48115;2.32592;2.29935;2.26721;2.2383;2.15885;2.08217
blr;traffic_mortality_children_0_14_per_100000_people;15.749670000000002;15.801120000000001;14.791739999999999;13.84649;13.07995;12.41611;11.76933;11.34901;10.86983;10.02398;9.95853;9.72887;9.96441;9.40306;8.91207;8.763539999999999;8.50261;8.57423;8.11721;7.70975;7.11713;6.66966;6.0246900000000005;5.4722599999999995;5.17657;4.98021;4.75992
blz;traffic_mortality_children_0_14_per_100000_people;25.38549;24.71528;23.28039;21.1509;20.10717;19.22673;19.30399;25.58606;19.64954;20.49916;20.33357;20.27713;19.8126;19.03291;18.56946;18.15271;17.03857;16.21245;15.57049;15.3031;14.643139999999999;14.48771;13.45925;12.660680000000001;12.12289;12.1574;12.207419999999999
bmu;traffic_mortality_children_0_14_per_100000_people;7.0965;7.488339999999999;7.744280000000001;7.3837;6.852360000000001;5.69434;4.611680000000001;3.84973;3.09401;3.04933;3.08581;3.23512;3.28056;3.73224;4.22556;5.19241;5.6900699999999995;5.5177;5.2488;4.87683;4.0747599999999995;3.7215599999999998;3.4570300000000005;3.47084;3.5021199999999997;3.47968;3.39845
bol;traffic_mortality_children_0_14_per_100000_people;65.77019;63.936280000000004;62.19585;60.660819999999994;58.969730000000006;57.115140000000004;55.25309;53.26993;51.21374;49.11489;47.18161;45.19164;43.26529;41.48086;40.03808;36.73748;35.48131;34.029579999999996;32.68755;31.31196;29.923379999999998;28.5098;27.313709999999997;25.933770000000003;24.59825;23.452189999999998;22.48445
bra;traffic_mortality_children_0_14_per_100000_people;27.370759999999997;26.597690000000004;25.86729;24.97889;24.32009;23.58561;22.851129999999998;21.61169;20.24771;19.29577;18.1442;17.31754;16.77899;16.19669;15.7974;15.24704;14.83925;14.3996;13.93074;13.576479999999998;13.200420000000001;12.75334;12.322189999999999;11.75117;11.36094;10.80668;10.5465
brb;traffic_mortality_children_0_14_per_100000_people;6.20231;5.98875;5.64462;5.34808;5.13892;5.02822;5.20062;5.35677;5.546209999999999;5.71152;5.76087;5.89356;5.97065;6.09887;6.09775;6.250369999999999;6.03406;5.887230000000001;5.64431;5.61156;5.30671;5.37186;5.04084;4.89872;4.97083;4.99904;5.022469999999999
brn;traffic_mortality_children_0_14_per_100000_people;15.674129999999998;15.6125;14.95401;14.26191;13.723679999999998;12.955160000000001;12.37983;11.749830000000001;11.005560000000001;10.20143;9.82874;9.35798;9.20397;8.977139999999999;8.60774;8.28513;8.03187;7.8033;7.633780000000001;7.54488;7.281969999999999;7.62322;7.769589999999999;7.49677;7.63935;7.61953;7.57482
btn;traffic_mortality_children_0_14_per_100000_people;27.457079999999998;25.770770000000002;24.52668;24.24245;23.35073;22.41071;23.9019;24.54257;23.646279999999997;22.7033;21.7532;21.08445;20.11309;19.001620000000003;17.87903;16.74445;15.86646;15.58694;14.75239;14.002089999999999;13.01271;11.96539;10.75773;9.86318;9.096210000000001;8.41715;7.85182
bwa;traffic_mortality_children_0_14_per_100000_people;14.28915;14.03305;14.06049;14.24332;14.61062;15.040329999999999;15.446;15.57216;16.63403;17.08319;17.30239;17.12593;16.70165;15.39415;15.21295;15.04755;14.675;14.345229999999999;13.170060000000001;12.2234;11.60868;10.63406;9.80669;8.87443;8.35242;7.93855;7.62918
caf;traffic_mortality_children_0_14_per_100000_people;67.11385;66.85792;65.24483000000001;64.89624;65.0275;65.05604;65.49011;64.50504000000001;63.46023;63.57383000000001;62.34648000000001;61.201480000000004;62.478519999999996;59.58794;59.00918000000001;58.77033;68.71354000000001;71.65061999999999;70.74788000000001;70.9987;70.25399999999999;64.99313000000001;62.72111999999999;60.093230000000005;60.32336;58.4639;52.63613
can;traffic_mortality_children_0_14_per_100000_people;11.75187;10.8616;10.31818;9.897310000000001;9.69625;9.3167;8.656460000000001;8.403080000000001;7.76702;7.441389999999999;6.99135;6.67738;6.46823;6.06326;5.695119999999999;5.61908;5.35464;5.1544300000000005;4.85308;4.5225;4.34278;4.19474;4.27766;4.39427;4.32728;4.33159;4.31086
che;traffic_mortality_children_0_14_per_100000_people;12.34855;11.89435;10.95042;10.34553;9.62855;8.624;7.75405;7.26008;6.96961;6.666810000000001;6.38856;5.91098;5.20055;4.897069999999999;4.53379;4.28899;4.006419999999999;3.62665;3.3853800000000005;3.25143;2.97186;2.91851;2.6444900000000002;2.55817;2.48887;2.41699;2.4113900000000004
